,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2011,16.5289,4.6512,,,,,,,,,,,,8.7719,35000.0,,,,,,51.7857,15.0,3.0,20.0,1.0,5.0,75.0,
12,2012,16.1157,4.6512,,,,,,,,,,,,8.7719,35000.0,,,,,,50.0,11.0,4.0,36.364,1.0,8.0,,
13,2013,18.1818,6.2016,,,,,,,,,,,,8.7719,40000.0,,,,,,55.3571,9.0,5.0,55.556,1.0,10.0,75.0,
14,2014,24.3802,8.5271,,,,,,,,,,,,24.5614,42000.0,,,,,,60.7143,10.0,8.0,80.0,1.0,8.0,75.0,0.0
15,2015,33.8843,15.5039,,,,,,,,,,,,38.5965,43000.0,50.0,,,0.0,10.5,71.4286,11.0,9.0,81.818,1.0,5.0,75.0,0.0
16,2016,35.124,20.155,,,,,,,,,,,,38.5965,43000.0,50.0,,,,11.8,66.0714,11.0,10.0,90.909,1.0,6.0,90.0,
17,2017,36.3636,20.155,,,,,,,,,,,,43.8596,46000.0,48.8,33.8,,,11.2,66.0714,9.0,8.0,88.889,1.0,6.0,100.0,
18,2018,30.9917,16.2791,,,,,,,,,,,,40.3509,46000.0,48.3,36.5,,,,55.3571,10.0,8.0,80.0,1.0,17.0,88.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
