,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,28.9256,12.4031,,,,,,,,,,,,35.0877,120000.0,26.13,,4178.0,,24.0,60.7143,11.0,10.0,90.909,1.0,15.0,84.0,
8,2008,33.8843,21.7054,,,,858.595,,,,,,,,35.0877,120000.0,26.0,,4160.0,,24.6,60.7143,14.0,13.0,92.857,1.0,18.0,81.0,
9,2009,35.5372,25.5814,,,,794.729,,3586.6,,,,,,38.5965,120700.0,25.0,,4160.0,,36.4,55.3571,13.0,11.0,84.615,1.0,15.0,,
10,2010,43.8017,30.2326,139.969,,,734.353,,,,,,,,49.1228,117100.0,24.0,18.12,4517.0,,29.9,69.6429,12.0,11.0,91.667,1.0,18.0,,
11,2011,43.8017,30.2326,128.061,,,692.576,,,,,,,,49.1228,72500.0,28.0,22.1,,,20.966,69.6429,12.0,11.0,91.667,1.0,10.0,97.0,
12,2012,45.4545,30.2326,121.048,,,624.992,,,,,,,,56.1404,68100.0,28.0,22.56,,,10.0,69.6429,12.0,11.0,91.667,1.0,9.0,90.0,
13,2013,46.281,30.2326,122.829,,,623.265,,,,,,,,59.6491,65300.0,27.0,22.86,,,15.0,69.6429,13.0,12.0,92.308,1.0,10.0,75.0,
14,2014,52.8926,37.9845,116.197,,,607.697,,1713.37,3581.16,,,,,70.1754,64300.0,27.08,26.11,,,12.6,69.6429,12.0,11.0,91.667,1.0,9.0,75.0,
15,2015,54.9587,48.8372,114.06,,,578.473,,1696.42,3266.96,,38.514,,,54.386,65000.0,27.0,,,,15.9,69.6429,12.0,11.0,91.667,1.0,9.0,75.0,
16,2016,57.438,51.1628,112.29,,,531.405,,1672.66,3356.19,,23.396,,,59.6491,67000.0,26.9,50.0,,0.0,30.3,69.6429,14.0,13.0,92.857,1.0,9.0,75.0,
17,2017,58.6777,53.4884,123.609,,,511.214,,1791.62,3331.78,1.324,24.273,,,59.6491,70000.0,26.6,52.6,,0.0,25.528,69.6429,13.0,12.0,92.308,1.0,14.0,75.0,
18,2018,59.5041,55.0388,121.935,,,499.627,,1763.37,3376.12,1.838,23.547,,,59.6491,85000.0,26.5,33.2,,0.0,28.3,69.6429,13.0,11.0,84.615,1.0,10.0,75.0,
19,2019,,,,,,,,,,,,,,,90000.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
