,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,14.876,1.5504,,,,,,,,,,,,8.7719,3412.0,,,,,,51.7857,12.0,10.0,83.333,3.0,5.0,75.0,
8,2008,14.876,1.5504,,,,,,,,,,,,8.7719,3526.0,,,,,,51.7857,12.0,10.0,83.333,3.0,21.0,75.0,
9,2009,30.9917,31.7829,,,,59140.0,34.0,,,,,5.0,0.01,8.7719,4607.0,,,,0.0,,51.7857,14.0,11.0,78.571,3.0,14.0,75.0,
10,2010,43.8017,40.3101,,,,57181.999,35.0,,,,,4.0,0.01,38.5965,4675.0,26.0,,,0.0,3.4,57.1429,14.0,11.0,78.571,3.0,10.0,75.0,
11,2011,52.0661,55.814,,,,60200.0,36.0,237087.0,,0.009,0.066,2.0,0.01,38.5965,5193.0,25.0,,,0.0,4.6,57.1429,14.0,12.0,85.714,3.0,8.0,75.0,
12,2012,45.4545,45.7364,,,,47000.0,30.0,161686.0,,0.024,0.063,11.0,0.02,33.3333,8792.0,,,,,5.4,57.1429,16.0,15.0,93.75,1.0,8.0,75.0,
13,2013,38.4298,31.0078,,,,75000.0,67.0,,,,,20.0,0.007,28.0702,7786.0,,,,,4.3,66.0714,14.0,12.0,85.714,1.0,9.0,75.0,
14,2014,41.7355,32.5581,,,,,68.0,,,,,21.0,0.033,38.5965,10000.0,21.0,,,,8.2,66.0714,13.0,11.0,84.615,1.0,6.0,75.0,
15,2015,41.7355,32.5581,,,,,60.0,,,,,16.0,0.226,38.5965,10500.0,23.0,,,,6.8,66.0714,12.0,10.0,83.333,1.0,9.0,75.0,
16,2016,41.7355,33.3333,,,,,39.0,,,,,20.0,2.04,33.3333,8763.0,22.0,,,,4.9,69.6429,13.0,11.0,84.615,1.0,10.0,75.0,
17,2017,41.3223,30.2326,,,,,22.51,,,,,11.0,0.016,38.5965,5940.0,24.0,,,,7.6,69.6429,13.0,12.0,92.308,1.0,19.0,75.0,
18,2018,37.6033,27.1318,,,,,22.51,,,,,,,33.3333,4862.0,27.0,,,,,66.0714,10.0,9.0,90.0,1.0,9.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
