,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,14.876,2.3256,,,,,,,,,,,,3.5088,30806.0,,,,,,55.3571,11.0,9.0,81.818,3.0,6.0,75.0,
8,2008,30.5785,22.4806,,,,5500.0,,20242.0,,,,,,19.2982,28092.0,7.13,9.68,,,,60.7143,11.0,10.0,90.909,3.0,7.0,75.0,
9,2009,40.4959,32.5581,4069.58,,,4700.0,,16732.199,,,,,,38.5965,27967.0,7.04,10.0,241.0,,,60.7143,12.0,11.0,91.667,3.0,6.0,80.0,
10,2010,45.0413,38.7597,4499.53,4769.41,0.259,5228.85,,18415.6,,,,,,43.8596,28559.0,6.91,10.0,251.0,,,60.7143,12.0,11.0,91.667,1.0,6.0,75.0,
11,2011,48.7603,43.4109,5080.23,5355.83,0.142,5405.05,,37705.898,,,,,,49.1228,30498.0,6.8,10.0,225.0,,,60.7143,12.0,11.0,91.667,1.0,6.0,75.0,
12,2012,52.0661,49.6124,4879.62,5131.15,0.253,5178.09,,20260.9,,,,,,49.1228,30416.0,6.9,10.3,239.0,,,60.7143,13.0,12.0,92.308,1.0,7.0,75.0,
13,2013,53.3058,49.6124,5040.53,5299.96,0.256,5349.11,,20740.699,,,,,,49.1228,29034.0,7.1,10.3,336.0,,,66.0714,12.0,10.0,83.333,1.0,7.0,75.0,
14,2014,56.6116,51.1628,5309.13,5574.58,0.341,5625.56,,16349.2,,,383.068,,,59.6491,29482.0,7.271,10.34,349.0,,6.814,66.0714,13.0,11.0,84.615,1.0,6.0,75.0,
15,2015,57.438,52.7132,5219.27,5468.53,0.048,5518.74,,113119.0,,,361.096,,,59.6491,30456.0,7.19,7.0,303.0,,6.433,66.0714,13.0,11.0,84.615,1.0,14.0,86.0,
16,2016,47.9339,34.8837,4927.04,5161.46,,5205.68,,,,0.13,377.807,,,54.386,27507.0,7.45,13.0,335.0,,4.388,71.4286,13.0,12.0,92.308,1.0,7.0,75.0,1.063
17,2017,57.0248,51.938,4826.78,5054.52,0.254,5101.29,,19928.1,,0.039,228.686,,,54.386,25123.0,7.43,17.0,337.0,0.0,3.428,71.4286,12.0,11.0,91.667,1.0,6.0,75.0,1.149
18,2018,54.9587,48.062,4887.27,5082.28,0.253,5126.28,,20127.0,,0.678,368.582,,,54.386,26514.0,7.075,24.0,348.0,0.0,2.491,71.4286,12.0,11.0,91.667,1.0,6.0,75.0,0.336
19,2019,,,,,,,,,,,,,,,24587.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
