,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,17.5439,8.0357,,,,78.944,,,,,,,,3.3333,10918.0,,,,,,51.7857,14.0,12.0,85.714,1.0,6.0,75.0,
8,2008,18.8596,10.7143,,,,74.936,,,,,,,,3.3333,12200.0,,,,,,51.7857,14.0,12.0,85.714,1.0,9.0,75.0,
9,2009,28.947400000000002,21.4286,,,,60.576,,,,,,,,16.6667,12400.0,,,,,,57.1429,14.0,13.0,92.857,1.0,8.0,75.0,
10,2010,40.7895,29.4643,,,,62.248,,126.221,,,,,,31.6667,12800.0,,,,,,73.2143,13.0,12.0,92.308,1.0,6.0,75.0,
11,2011,40.7895,29.4643,,,,64.635,,128.755,,,,,,31.6667,14316.0,,,,,,73.2143,13.0,12.0,92.308,1.0,7.0,75.0,
12,2012,40.7895,29.4643,,,,50.802,,109.162,,,,,,31.6667,14249.0,,,,,,73.2143,12.0,11.0,91.667,1.0,8.0,75.0,
13,2013,39.4737,24.1071,,,,54.384,,,,,,,,36.6667,14907.0,49.67,35.65,,,,73.2143,12.0,11.0,91.667,1.0,10.0,75.0,
14,2014,40.3509,28.5714,,,,50.495,,,,,,,,36.6667,15607.0,45.0,,,,,67.8571,11.0,10.0,90.909,1.0,10.0,75.0,
15,2015,38.5965,20.5357,,,,3.071,,,,,,,,41.6667,16465.0,46.7,,,,,71.4286,12.0,11.0,91.667,1.0,9.0,75.0,
16,2016,46.4912,35.7143,2.33,48.005,,48.302,,,,,,,,46.6667,17203.0,46.0,,,,16.0,67.8571,13.0,12.0,92.308,1.0,7.0,75.0,
17,2017,47.3684,35.7143,2.12,45.442,,45.733,,,,,,,,46.6667,18218.0,45.88,,,,19.0,71.4286,13.0,11.0,84.615,1.0,10.0,75.0,
18,2018,47.3684,33.0357,2.627,39.25,,39.446,,,,,,,,46.6667,19083.0,45.87,47.0,,,1300.0,76.7857,13.0,11.0,84.615,1.0,8.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
