,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,12.8099,,,,,,,,,,,,,3.5088,18000.0,,,,,,51.7857,8.0,7.0,87.5,3.0,10.0,75.0,
8,2008,12.8099,,,,,,,,,,,,,3.5088,21700.0,,,,,,51.7857,9.0,8.0,88.889,3.0,6.0,75.0,
9,2009,33.4711,34.1085,,,,13860.4,0.684,,28770.4,,,,,14.0351,20400.0,,,,,3.573,51.7857,9.0,8.0,88.889,3.0,5.0,100.0,
10,2010,22.7273,16.2791,,,,,,,,,,,,8.7719,20500.0,,,,,,51.7857,9.0,8.0,88.889,3.0,4.0,74.89,
11,2011,26.4463,18.6047,,,,,,,,,,,,14.0351,20800.0,,,,,6.142,57.1429,10.0,8.0,80.0,1.0,4.0,75.0,
12,2012,23.9669,16.2791,,,,,,,,,,,,14.0351,22200.0,,,,,,51.7857,11.0,9.0,81.818,1.0,4.0,75.0,
13,2013,27.686,19.3798,,,,,,,,,,,,19.2982,22300.0,,,,,6.709,55.3571,10.0,8.0,80.0,1.0,6.0,75.0,
14,2014,22.314,11.6279,,,,,,,,,,,,14.0351,23600.0,,,,,,55.3571,9.0,8.0,88.889,1.0,4.0,75.0,
15,2015,25.2066,17.0543,,,,,,,,,,,,14.0351,23700.0,,,,,,55.3571,9.0,8.0,88.889,1.0,4.0,75.0,
16,2016,22.314,11.6279,,,,,,,,,,,,14.0351,23900.0,,,,,,55.3571,9.0,8.0,88.889,1.0,4.0,75.0,
17,2017,30.1653,19.3798,,,,,,,,,,,,24.5614,25100.0,,,,0.0,6.627,60.7143,9.0,8.0,88.889,1.0,4.0,75.0,
18,2018,23.5537,13.9535,,,,,,,,,,,,14.0351,26300.0,,,,,,55.3571,7.0,6.0,85.714,1.0,5.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
