,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,14.0496,,,,,,,,,,,,,8.7719,2737.0,,,,,,51.7857,9.0,8.0,88.889,3.0,5.0,75.0,
7,2007,14.0496,,,,,,,,,,,,,8.7719,4083.0,,,,,,51.7857,8.0,7.0,87.5,3.0,9.0,75.0,
8,2008,14.0496,,,,,,,,,,,,,8.7719,4985.0,,,,,,51.7857,8.0,7.0,87.5,3.0,8.0,75.0,
9,2009,14.0496,,,,,,,,,,,,,8.7719,5420.0,,,,,,51.7857,8.0,7.0,87.5,3.0,7.0,75.0,
10,2010,14.0496,,,,,,,,,,,,,8.7719,5706.0,,,,,1.702,51.7857,8.0,7.0,87.5,3.0,6.0,75.0,
11,2011,41.3223,28.6822,,,,,0.215,117.416,126.0,0.003,1.3940000000000001,,,43.8596,4161.0,15.0,,,0.0,1.682,67.8571,8.0,7.0,87.5,3.0,4.0,75.0,0.0
12,2012,55.3719,62.0155,,,,46.06,0.012,123.872,136.011,0.001,1.9969999999999999,0.0,0.0,38.5965,7133.0,16.0,,,,5.003,57.1429,9.0,8.0,88.889,1.0,7.0,75.0,
13,2013,56.6116,64.3411,,,,46.584,0.01,123.87,136.01,0.001,1.4849999999999999,0.0,0.0,33.3333,7974.0,16.0,,,,2.57,62.5,9.0,8.0,88.889,1.0,7.0,75.0,
14,2014,71.0744,72.093,,,,51.402,0.002,128.972,188.06,0.005,1.3439999999999999,0.0,0.0,71.9298,8808.0,16.0,15.0,10.0,0.0,1.8860000000000001,67.8571,10.0,9.0,90.0,1.0,13.0,75.0,
15,2015,68.595,72.093,3.6,55.87,0.414,55.874,0.002,135.045,241.25,,1.26,0.0,0.0,61.4035,9228.0,16.53,14.73,12.0,0.0,1.6,67.8571,10.0,9.0,90.0,1.0,5.0,75.0,
16,2016,52.0661,48.8372,2.419,,,53.618,0.002,134.215,180.577,,,0.0,0.0,49.1228,9227.0,18.0,12.0,,,2.576,62.5,12.0,11.0,91.667,1.0,6.0,75.0,
17,2017,56.1983,55.0388,2.427,,,55.474,,127.894,213.707,,,0.0,0.0,52.6316,10299.0,18.4,12.0,,,2.9699999999999998,62.5,12.0,11.0,91.667,1.0,5.0,75.0,
18,2018,57.438,57.3643,2.335,,,53.586,0.002,153.907,262.269,,,0.0,0.0,57.8947,11528.0,18.6,8.49,,,3.336,57.1429,11.0,10.0,90.909,1.0,5.0,,
19,2019,54.9587,54.2636,2.547,,,67.611,0.002,197.923,320.013,,,,,49.1228,13277.0,18.9,11.0,,,2.695,62.5,11.0,10.0,90.909,1.0,7.0,75.0,
20,2020,,,,,,,,,,,,,,,13775.0,,,,,,,,,,,,,
