,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,14.0496,,,,,,,,,,,,,8.7719,22000.0,,,,,,51.7857,12.0,11.0,91.667,3.0,6.0,75.0,
8,2008,19.0083,9.3023,,,,,,,,,,,,8.7719,20400.0,,,,,,51.7857,11.0,10.0,90.909,3.0,8.0,75.0,
9,2009,31.405,30.2326,,,,326.675,,,,1.52,14.552,,,14.0351,19500.0,,,,,,51.7857,12.0,11.0,91.667,3.0,8.0,75.0,
10,2010,35.9504,34.8837,,,,328.177,,648.118,,1.669,13.198,,,19.2982,19400.0,,,,,,55.3571,11.0,10.0,90.909,3.0,8.0,75.0,
11,2011,38.0165,37.2093,,,,330.103,,634.806,,1.712,13.559,,,22.807,19900.0,,,,,,55.3571,12.0,10.0,83.333,3.0,8.0,75.0,
12,2012,38.0165,37.2093,,,,300.76,,566.941,,2.161,15.1,,,22.807,18300.0,,,,,,55.3571,12.0,11.0,91.667,1.0,7.0,74.34,
13,2013,40.4959,37.2093,,,,310.755,,595.3,,1.303,11.723,,,33.3333,18300.0,,,128.0,,,55.3571,12.0,11.0,91.667,1.0,6.0,75.0,
14,2014,40.4959,37.2093,,,,266.174,,539.0,,2.192,16.622,,,33.3333,17400.0,,,91.0,,,55.3571,13.0,12.0,92.308,1.0,7.0,75.0,
15,2015,19.4215,7.7519,,,,,,,,,,,,24.5614,17200.0,,,,,,41.0714,12.0,11.0,91.667,1.0,,,
16,2016,22.7273,7.7519,,,,,,,,,,,,24.5614,53400.0,,,,,,55.3571,12.0,9.0,75.0,1.0,6.0,75.0,
17,2017,27.2727,16.2791,,,,,,,,,,,,24.5614,49000.0,,,,,,55.3571,12.0,9.0,75.0,1.0,7.0,75.0,
18,2018,27.2727,16.2791,,,,,,,,,,,,24.5614,37000.0,,,,,,55.3571,12.0,11.0,91.667,1.0,19.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
