,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2011,10.7438,9.3023,,,,532.279,,,,,,,,5.2632,,,,,,,19.6429,16.0,,,,,,
12,2012,10.7438,9.3023,,,,223.585,,,,,,,,5.2632,,,,,,,19.6429,15.0,,,,,,
13,2013,19.4215,9.3023,,,,275.192,,,,,,,,19.2982,24000.0,,,,,,42.8571,12.0,7.0,58.333,1.0,,,
14,2014,20.2479,9.3023,,,,258.681,,,,,,,,19.2982,22000.0,,,,,,46.4286,12.0,7.0,58.333,1.0,8.0,,
15,2015,25.2066,16.2791,,,,225.403,,,,,,,,19.2982,25000.0,,,,,,51.7857,12.0,7.0,58.333,1.0,9.0,,0.027
16,2016,26.4463,16.2791,,,,210.868,,,,,,,,19.2982,24000.0,,,,,,57.1429,12.0,7.0,58.333,1.0,6.0,75.0,0.051
17,2017,27.686,18.6047,,,,202.014,,,,,,,,19.2982,26000.0,,,,,,57.1429,11.0,6.0,54.546,1.0,5.0,75.0,
18,2018,27.686,18.6047,,,,183.501,,,,,,,,19.2982,28000.0,,,,,,57.1429,11.0,6.0,54.546,1.0,8.0,75.0,
19,2019,,,,,,,,,,,,,,,28000.0,,,,,,,11.0,7.0,63.636,1.0,7.0,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
