,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,12.8099,,,,,,,,,,,,,3.5088,69.0,,,,,,51.7857,10.0,9.0,90.0,1.0,13.0,75.0,
9,2009,,,,,,,,,,,,,,,72.0,,,,,,,7.0,6.0,85.714,1.0,13.0,75.0,
10,2010,12.8099,,,,,,,,,,,,,3.5088,79.0,,,,,,51.7857,7.0,6.0,85.714,1.0,13.0,75.0,
11,2011,12.8099,,,,,,,,,,,,,3.5088,79.0,,,,,,51.7857,7.0,6.0,85.714,1.0,16.0,75.0,
12,2012,12.8099,,,,,,,,,,,,,3.5088,97.0,,,,,,51.7857,7.0,6.0,85.714,1.0,19.0,75.0,
13,2013,15.2893,2.3256,,,,,,,,,,,,8.7719,97.0,,,,,,51.7857,7.0,5.0,71.429,1.0,22.0,75.0,
14,2014,,,,,,,,,,,,,,,116.0,,,,,,,8.0,7.0,87.5,1.0,17.0,75.0,
15,2015,16.5289,2.3256,,,,,,,,,,,,14.0351,132.0,,,,,,51.7857,8.0,7.0,87.5,1.0,17.0,75.0,
16,2016,16.5289,2.3256,,,,,,,,,,,,14.0351,146.0,,,,,,51.7857,8.0,7.0,87.5,1.0,14.0,75.0,
17,2017,14.0496,2.3256,,,,,,,,,,,,3.5088,152.0,,,,,,51.7857,8.0,7.0,87.5,1.0,13.0,75.0,
18,2018,15.2893,4.6512,,,,,,,,,,,,3.5088,165.0,,,,,,51.7857,10.0,9.0,90.0,1.0,12.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
