,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,11.157,,,,,,,,,,,,,,,,,,,,48.2143,8.0,4.0,50.0,1.0,6.0,75.0,
8,2008,11.157,,,,,,,,,,,,,,,,,,,,48.2143,9.0,5.0,55.56,1.0,5.0,75.0,
9,2009,11.157,,,,,,,,,,,,,,,,,,,,48.2143,9.0,5.0,55.56,1.0,4.0,75.0,
10,2010,11.157,,,,,,,,,,,,,,,,,,,,48.2143,9.0,5.0,55.56,1.0,5.0,75.0,
11,2011,11.157,,,,,,,,,,,,,,,,,,,,48.2143,9.0,5.0,55.56,1.0,4.0,75.0,
12,2012,11.157,,,,,,,,,,,,,,,,,,,,48.2143,9.0,5.0,55.56,1.0,4.0,75.0,
13,2013,11.157,,,,,,,,,,,,,,,,,,,,48.2143,8.0,5.0,62.5,1.0,4.0,75.0,
14,2014,11.157,,,,,,,,,,,,,,,,,,,,48.2143,8.0,5.0,62.5,1.0,4.0,75.0,
15,2015,14.876,1.5504,,,,,,,,,,,,8.7719,17931.0,,,,,,51.7857,8.0,5.0,62.5,1.0,4.0,75.0,
16,2016,14.876,1.5504,,,,,,,,,,,,8.7719,17543.0,,,,,,51.7857,9.0,6.0,66.667,1.0,4.0,75.0,
17,2017,17.3554,6.2016,,,,,,,,,,,,8.7719,19183.0,,,,,,51.7857,9.0,6.0,66.667,1.0,5.0,75.0,
18,2018,18.1818,7.7519,,,,,,,,,,,,8.7719,21279.0,,,,,,51.7857,10.0,6.0,60.0,1.0,5.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
