,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,14.9378,,,,,,,,,,,,,7.8125,4555.0,,,,,,55.3571,13.0,10.0,76.923,3.0,8.0,75.0,
8,2008,22.8216,14.0496,,2800.0,,,,,,,,,0.043,10.9375,4742.0,,,,0.0,,55.3571,12.0,9.0,75.0,1.0,6.0,75.0,
9,2009,35.2697,26.4463,,2600.0,,,,,,,,,0.117,29.6875,4758.0,,,26.0,0.0,,60.7143,12.0,10.0,83.333,1.0,7.0,75.0,
10,2010,36.0996,25.6198,,,,,,,,,,,0.001,34.375,4839.0,,,10.0,0.0,2.427,60.7143,12.0,11.0,91.667,1.0,6.0,75.0,
11,2011,37.3444,25.6198,,,,,,,,,,,0.046,34.375,4795.0,,,15.0,0.0,3.614,66.0714,12.0,10.0,83.333,1.0,10.0,75.0,0.046
12,2012,41.0788,25.6198,,,,,,,,,,,0.001,48.4375,4859.0,25.0,21.0,15.0,0.0,,66.0714,11.0,10.0,90.909,1.0,8.0,75.0,0.19
13,2013,40.6639,25.6198,,,,,,,,,,,0.047,46.875,1927.0,21.0,21.0,21.0,0.0,,66.0714,10.0,9.0,90.0,1.0,10.0,75.0,0.701
14,2014,37.7593,25.6198,,,,,,,,,,,0.07,35.9375,2297.0,21.0,,15.0,0.0,,66.0714,11.0,9.0,81.818,1.0,12.0,75.0,0.443
15,2015,40.249,28.0992,,,,,10.8,,,,,,0.013,40.625,2364.0,20.0,,15.0,0.0,,66.0714,12.0,10.0,83.333,1.0,17.0,75.0,0.447
16,2016,36.9295,30.5785,,,,,11.4,,52.268,,,,0.006,28.125,2382.0,,,23.0,0.0,,60.7143,11.0,9.0,81.818,1.0,14.0,75.0,
17,2017,48.5477,39.6694,,,,5000.0,10.7,,21.543,,,,0.018,51.5625,2500.0,20.8,,16.0,0.0,2.6,64.2857,10.0,8.0,80.0,1.0,12.0,75.0,
18,2018,51.8672,43.8017,2300.0,,,5800.0,9.6,,,0.021,,,0.023,56.25,2698.0,20.5,,11.0,0.0,4.7,64.2857,10.0,9.0,90.0,1.0,9.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
