,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,14.0496,,,,,,,,,,,,,8.7719,70000.0,,,,,,51.7857,11.0,9.0,81.818,1.0,7.0,97.0,
8,2008,29.7521,15.5039,,,,173.275,,245.344,,,,,,35.0877,68000.0,57.0,46.0,,,8.6,57.1429,12.0,10.0,83.333,1.0,11.0,98.0,
9,2009,32.2314,16.2791,,,,161.439,,,,,,,,43.8596,63000.0,53.0,50.0,,,5.0,57.1429,12.0,10.0,83.333,1.0,6.0,95.0,
10,2010,31.8182,20.155,,,,118.167,,,,,,,,33.3333,65500.0,,,,,6.8,57.1429,12.0,10.0,83.333,1.0,7.0,99.0,
11,2011,35.9504,27.907,,,,125.0,,230.0,,,,,,33.3333,70600.0,,,,,7.0,57.1429,13.0,11.0,84.615,1.0,6.0,99.0,
12,2012,36.7769,29.4574,,,,155.0,,237.0,,,,,,33.3333,71100.0,,,,,7.0,57.1429,13.0,11.0,84.615,1.0,7.0,99.0,
13,2013,24.3802,10.8527,,,,,,,,,,,,28.0702,71800.0,,,,,,51.7857,13.0,11.0,84.615,1.0,11.0,99.0,
14,2014,24.3802,10.8527,,,,,,,,,,,,28.0702,74000.0,,,,,,51.7857,13.0,11.0,84.615,1.0,13.0,99.0,
15,2015,27.2727,17.0543,,,,,,191.128,,,,,,22.807,74900.0,,,,,,55.3571,13.0,11.0,84.615,1.0,7.0,100.0,
16,2016,32.2314,24.031,,,,113.669,,188.365,,,,,,28.0702,78500.0,,,,,,55.3571,13.0,11.0,84.615,1.0,9.0,,
17,2017,34.7107,24.031,,,,101.406,,175.964,,,,,,33.3333,77300.0,50.0,,,,,60.7143,13.0,11.0,84.615,1.0,6.0,100.0,
18,2018,33.4711,24.031,,,,96.021,,153.023,,,,,,28.0702,91020.0,,,,,,60.7143,11.0,10.0,90.909,1.0,6.0,100.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
