,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,19.0083,10.0775,,,,,,,,,,,,7.0175,56133.0,,,,,,51.7857,12.0,8.0,66.667,1.0,11.0,75.0,
7,2007,14.0496,2.3256,,,,,,,,,,,,7.0175,74674.0,,,,,,48.2143,11.0,7.0,63.636,1.0,10.0,75.0,
8,2008,19.8347,11.6279,,,,,,,,,,,,7.0175,84233.0,,,,,,51.7857,12.0,8.0,66.667,1.0,7.0,75.0,
9,2009,26.0331,14.7287,,,,,,,,,,,,21.0526,86000.0,,,,,,57.1429,12.0,8.0,66.667,1.0,11.0,75.0,
10,2010,25.6198,13.9535,,,,,,,,,,,,21.0526,105000.0,,,,,,57.1429,12.0,8.0,66.667,1.0,6.0,75.0,
11,2011,28.5124,23.2558,,,,397.123,,,,,,,,17.5439,108000.0,,,,,,51.7857,12.0,8.0,66.667,1.0,6.0,75.0,
12,2012,26.0331,16.2791,,,,,,,,,,,,17.5439,115000.0,,,,,,57.1429,12.0,8.0,66.67,1.0,7.0,75.0,
13,2013,24.7934,16.2791,,,,,,,,,,,,17.5439,120000.0,,,,,,51.7857,11.0,8.0,72.727,1.0,7.0,75.0,
14,2014,26.0331,16.2791,,,,,,,,,,,,22.807,122000.0,,,,,,51.7857,11.0,7.0,63.636,1.0,6.0,75.0,
15,2015,28.0992,20.155,,,,,,1067.11,,,,,,22.807,132000.0,,,,,,51.7857,11.0,7.0,63.636,1.0,8.0,75.0,
16,2016,34.7107,25.5814,,,,,,1100.43,,,,,,28.0702,136262.0,29.0,,,,,62.5,13.0,9.0,69.231,1.0,7.0,75.0,
17,2017,33.8843,24.031,,,,,,1224.31,,,,,,28.0702,138802.0,29.0,,,,,62.5,12.0,8.0,66.667,1.0,8.0,75.0,
18,2018,31.8182,20.155,,,,,,,,,,,,28.0702,138585.0,30.0,,,,,62.5,14.0,9.0,64.286,1.0,7.0,75.0,
19,2019,,,,,,,,,,,,,,,138585.0,30.0,,,,18.28,,14.0,9.0,64.286,1.0,4.0,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
