,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,12.8099,,,,,,,,,,,,,3.5088,40735.0,,,,,,51.7857,9.0,5.0,55.556,3.0,9.0,97.53,
9,2009,13.6364,1.5504,,,,,,,,,,,,3.5088,44822.0,,,,,,51.7857,8.0,4.0,50.0,3.0,4.0,96.875,
10,2010,13.6364,1.5504,,,,,,,,,,,,3.5088,47142.0,,,,,,51.7857,9.0,5.0,55.556,3.0,4.0,97.22,
11,2011,13.6364,1.5504,,,,,,,,,,,,3.5088,49148.0,,,,,,51.7857,9.0,5.0,55.556,3.0,4.0,94.44,
12,2012,13.6364,1.5504,,,,,,,,,,,,3.5088,53615.0,,,,,,51.7857,9.0,5.0,55.556,3.0,4.0,100.0,
13,2013,13.6364,1.5504,,,,,,,,,,,,3.5088,62533.0,,,,,,51.7857,9.0,5.0,55.556,3.0,4.0,100.0,
14,2014,17.3554,1.5504,,,,,,,,,,,,19.2982,67926.0,,,,,,51.7857,9.0,5.0,55.556,1.0,4.0,97.22,
15,2015,17.3554,1.5504,,,,,,,,,,,,19.2982,71943.0,,,,,,51.7857,9.0,5.0,55.556,1.0,4.0,94.44,
16,2016,17.3554,1.5504,,,,,,,,,,,,19.2982,74715.0,,,,,,51.7857,9.0,5.0,55.556,1.0,4.0,97.22,
17,2017,18.1818,1.5504,,,,,,,,,,,,19.2982,75289.0,,,,,,55.3571,11.0,6.0,54.546,1.0,4.0,100.0,
18,2018,21.0744,6.9767,,,,,,,,,,,,19.2982,79174.0,,,,,,55.3571,9.0,5.0,55.556,1.0,4.0,98.33,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
