,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,38.1743,33.0579,,,,13700.0,,,,45.0,111.0,37.0,0.032,32.8125,8017.0,,,,,,55.3571,12.0,11.0,91.667,1.0,6.0,75.0,
6,2006,36.5145,29.7521,,,,16220.0,,,,,,61.0,0.584,32.8125,8886.0,,,,,,55.3571,12.0,11.0,91.667,1.0,6.0,75.0,
7,2007,39.4191,33.0579,,,,15800.0,17.5,,,,,,0.179,32.8125,9700.0,,,,,,60.7143,12.0,11.0,91.667,1.0,6.0,75.0,
8,2008,38.5892,33.0579,,,,16100.0,16.2,,,,,,0.0,29.6875,10400.0,,,,,,60.7143,12.0,11.0,91.667,1.0,6.0,75.0,
9,2009,37.7593,28.0992,,,,16500.0,,,,,,,0.574,32.8125,10100.0,,,,4.0,,64.2857,13.0,12.0,92.308,1.0,6.0,75.0,
10,2010,39.834,28.0992,,,,17800.0,,,,,,,0.395,40.625,11000.0,,,,0.0,,64.2857,15.0,13.0,86.667,1.0,8.0,75.0,
11,2011,43.5685,34.7107,,,,19100.0,12.0,,,,,,0.539,40.625,11300.0,,,,0.0,,66.0714,13.0,11.0,84.615,1.0,6.0,75.0,0.57
12,2012,47.7178,38.843,,,,15000.0,14.0,71148.0,,,,,0.453,45.3125,12300.0,,,,0.0,13.0,69.6429,11.0,9.0,81.818,1.0,6.0,75.0,0.663
13,2013,47.7178,38.843,,,,17700.0,14.0,64386.0,,,,,0.312,45.3125,12900.0,18.0,,,0.0,,69.6429,10.0,9.0,90.0,1.0,16.0,75.0,0.491
14,2014,47.7178,41.3223,,,,15600.0,16.0,66444.0,,,,,0.054,40.625,11700.0,,,,0.0,14.2,69.6429,11.0,9.0,81.818,1.0,6.0,75.0,0.621
15,2015,50.2075,46.281,,,,14200.0,15.8,28169.199,854569.0,,,,0.235,40.625,11100.0,,,,0.0,13.2,69.6429,11.0,9.0,81.818,1.0,6.0,75.0,0.521
16,2016,48.9627,46.281,,,,15830.0,17.8,62365.102,811303.0,,,,,40.625,11071.0,,,,0.0,10.125,64.2857,12.0,10.0,83.333,1.0,6.0,,0.317
17,2017,51.0373,50.4132,,,,15500.0,19.4,57531.699,776851.0,,,,,35.9375,10927.0,,,,0.0,,69.6429,11.0,10.0,90.909,1.0,7.0,75.0,0.715
18,2018,51.0373,50.4132,,,,14470.0,12.1,60000.0,835431.0,,,,,35.9375,11136.0,,,,0.0,,69.6429,11.0,10.0,90.909,1.0,6.0,75.0,0.944
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
