,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,14.0496,,,,,,,,,,,,,8.7719,21800.0,,,,,,51.7857,10.0,9.0,90.0,3.0,4.0,75.0,
8,2008,14.0496,,,,,,,,,,,,,8.7719,18700.0,,,,,,51.7857,13.0,11.0,84.615,3.0,4.0,75.0,
9,2009,17.7686,6.9767,,,,,,,,,,,,8.7719,15200.0,,,,,,51.7857,12.0,9.0,75.0,3.0,4.0,75.0,
10,2010,17.7686,6.9767,,,,,,,,,,,,8.7719,17700.0,,,,,,51.7857,12.0,9.0,75.0,3.0,4.0,75.0,
11,2011,20.2479,6.9767,,,,,,,,,,,,19.2982,23400.0,,,,,,51.7857,11.0,8.0,72.727,3.0,4.0,75.0,
12,2012,20.2479,6.9767,,,,,,,,,,,,19.2982,21800.0,,,,,,51.7857,11.0,9.0,81.82,3.0,4.0,75.0,
13,2013,22.7273,11.6279,,,,,,,,,,,,19.2982,21800.0,,,,,,51.7857,11.0,9.0,81.818,3.0,4.0,75.0,
14,2014,22.314,11.6279,,,,,,,,,,,,17.5439,23300.0,,,,,,51.7857,11.0,9.0,81.818,3.0,4.0,75.0,
15,2015,22.314,11.6279,,,,,,,,,,,,17.5439,23000.0,,,,,,51.7857,11.0,9.0,81.818,3.0,4.0,75.0,
16,2016,23.1405,11.6279,,,,,,,,,,,,17.5439,23000.0,,,,,,55.3571,11.0,8.0,72.727,3.0,4.0,75.0,
17,2017,23.1405,11.6279,,,,,,,,,,,,17.5439,25000.0,,,,,,55.3571,11.0,8.0,72.727,3.0,4.0,75.0,
18,2018,23.1405,11.6279,,,,,,,,,,,,17.5439,28000.0,,,,,,55.3571,11.0,8.0,72.727,3.0,4.0,75.0,
19,2019,,,,,,,,,,,,,,,27000.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
