,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,15.2893,,,,,,,,,,,,,8.7719,151.0,,,,,,57.1429,11.0,9.0,81.818,1.0,16.0,75.0,
8,2008,14.0496,,,,,,,,,,,,,8.7719,144.0,,,,,,51.7857,11.0,10.0,90.909,1.0,9.0,75.0,
9,2009,14.0496,,,,,,,,,,,,,8.7719,142.0,,,,,,51.7857,11.0,10.0,90.909,1.0,6.0,75.0,
10,2010,14.0496,,,,,,,,,,,,,8.7719,148.0,,,,,,51.7857,10.0,9.0,90.0,1.0,12.0,75.0,
11,2011,42.9752,34.1085,25.631,,,233.194,,551.846,2740.58,,16.374,,,43.8596,147.0,46.94,,,,0.0,62.5,8.0,7.0,87.5,1.0,7.0,75.0,
12,2012,40.4959,31.7829,,,,245.827,,541.765,2779.67,,15.317,,,43.8596,149.0,47.0,,,,0.0,57.1429,8.0,7.0,87.5,1.0,10.0,75.0,
13,2013,41.7355,34.1085,,,,252.461,,553.673,2831.16,,17.757,,,38.5965,154.0,47.4,,,,,62.5,7.0,6.0,85.714,1.0,11.0,75.0,
14,2014,44.2149,38.7597,,,,398.118,,882.459,5636.99,,34.09,,,38.5965,170.0,46.47,,,,,62.5,8.0,7.0,87.5,1.0,13.0,80.0,
15,2015,46.281,38.7597,,,,375.416,,889.781,5909.37,,40.511,,,47.3684,187.0,47.05,,,,0.328,62.5,8.0,7.0,87.5,1.0,15.0,80.0,
16,2016,50.0,41.0853,,,,360.147,,862.532,6219.84,0.0,55.488,,,57.8947,188.0,45.74,,,,0.521,62.5,7.0,6.0,85.714,1.0,14.0,90.0,
17,2017,47.9339,41.0853,,,,317.742,,861.27,6193.22,0.0,56.095,,,54.386,190.0,47.0,,,,0.458,57.1429,8.0,6.0,75.0,1.0,,95.0,
18,2018,52.4793,45.7364,,,,299.392,,912.177,5423.8,0.0,32.013,,,59.6491,201.0,47.0,16.67,,,0.494,60.7143,8.0,8.0,100.0,1.0,,98.0,
19,2019,,,,,,,,,,,,,,,204.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
