,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,27.9245,22.7586,,,,25176.1,,,,,126.451,17.0,0.049,15.625,6154.0,,,,,,55.3571,10.0,8.0,80.0,3.0,13.0,77.0,
7,2007,23.0189,15.1724,,,,25680.0,15.524000000000001,,,,,13.0,0.068,7.8125,8767.0,,,,,,60.7143,9.0,8.0,88.889,1.0,10.0,77.0,
8,2008,25.283,19.3103,,,,25060.0,18.677,,,,,10.0,0.022,7.8125,9849.0,,,,,,60.7143,10.0,9.0,90.0,1.0,10.0,75.0,
9,2009,52.4528,49.6552,18900.0,,,21180.0,11.211,,,0.014,267.391,10.0,0.009,46.875,10352.0,15.9,,,0.0,8.464,66.0714,9.0,8.0,88.889,1.0,8.0,85.0,
10,2010,43.3962,35.1724,,,,23799.829,13.43,,,,230.045,11.0,0.01,46.875,9965.0,15.53,,,0.0,8.62,60.7143,9.0,8.0,88.89,1.0,7.0,79.0,
11,2011,37.3585,26.8966,,,,17314.0,12.211,,,,,5.0,,40.625,9784.0,16.2,,,0.0,,60.7143,9.0,8.0,88.889,1.0,8.0,75.0,
12,2012,40.7547,26.8966,,,,15032.58,10.058,,,,,5.0,,50.0,9798.0,16.0,,,0.0,9.8,66.0714,11.0,10.0,90.91,1.0,7.0,75.0,
13,2013,38.1132,26.2069,,,,16218.4,10.485,,,,,6.0,,45.3125,9887.0,16.2,,,0.0,,60.7143,10.0,9.0,90.0,1.0,7.0,75.0,
14,2014,36.2264,23.4483,,,,16597.5,11.062,,,,,,,45.3125,12689.0,17.5,,,0.0,,58.9286,10.0,9.0,90.0,1.0,9.0,75.0,
15,2015,38.8679,28.2759,,,,16090.4,8.932,,160900.0,,,3.0,0.03,45.3125,13025.0,17.6,,,0.0,,58.9286,10.0,9.0,90.0,1.0,9.0,75.0,
16,2016,44.1509,33.7931,,,,14120.3,7.974,,,8.034,55.987,0.0,0.0,45.3125,13065.0,18.1,,,0.0,,69.6429,11.0,10.0,90.909,1.0,12.0,75.0,0.043
17,2017,54.717,51.0345,11261.2,,,13043.2,4.434,99316.0,17700.0,8.368,16.676,1.0,0.025,45.3125,12945.0,18.3,,,0.0,,75.0,11.0,10.0,90.909,1.0,8.0,75.0,0.344
18,2018,52.8302,48.2759,12962.0,,,14650.4,4.61,110.769,6300.0,8.103,24.703,0.0,0.0,43.75,13145.0,17.9,,,,0.125,75.0,11.0,10.0,90.909,1.0,9.0,75.0,0.119
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
