,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,18.595,9.3023,,,,3560.0,,10900.0,63900.0,,,,,3.5088,168000.0,,,,,,55.3571,10.0,8.0,80.0,1.0,7.0,97.0,
7,2007,33.0579,23.2558,,,,3635.0,,11298.0,64922.0,,,,,28.0702,185000.0,,,,,58.5,60.7143,10.0,8.0,80.0,1.0,8.0,96.0,0.034
8,2008,33.4711,26.3566,,,,3769.0,,11600.0,64446.0,,,,,22.807,198000.0,,,,,,60.7143,13.0,11.0,84.615,1.0,7.0,95.0,0.637
9,2009,40.0826,30.2326,,,,3683.0,,11350.0,55900.0,,,,,36.8421,203000.0,,,,,27.9,66.0714,12.0,11.0,91.667,1.0,9.0,91.0,0.219
10,2010,45.4545,37.2093,,,,6048.0,,20655.0,101900.0,,1343.0,,,38.5965,294000.0,,,,,25.9,71.4286,12.0,11.0,91.667,1.0,7.0,96.0,0.805
11,2011,42.9752,32.5581,,,,5865.0,,20806.0,101700.0,,1406.0,,,38.5965,297000.0,,,,,92.0,71.4286,13.0,12.0,92.308,1.0,11.0,93.0,0.146
12,2012,47.5207,41.0853,,,,5832.0,,20405.0,100000.0,,1360.0,,0.359,38.5965,278000.0,,,,12.0,99.0,71.4286,13.0,12.0,92.308,1.0,7.0,95.0,0.341
13,2013,48.3471,43.4109,,,,5790.0,,20430.0,97700.0,,1393.3,,0.058,38.5965,274000.0,,,,10.0,100.1,69.6429,13.0,12.0,92.308,1.0,7.0,95.0,0.454
14,2014,48.3471,41.0853,,,,5855.0,,20747.699,95900.0,,1440.0,,0.063,38.5965,271000.0,,,,11.0,76.9,75.0,13.0,12.0,92.308,1.0,6.0,98.0,4.539
15,2015,48.7603,39.5349,,,,5585.0,,20230.5,92700.0,,1571.0,,,43.8596,263000.0,,,,,73.4,75.0,14.0,13.0,92.857,1.0,7.0,98.7,0.44
16,2016,48.7603,44.186,,,,5700.09,,14562.8,93434.0,,,,,33.3333,264000.0,,,,,73.7,75.0,15.0,14.0,93.333,1.0,6.0,75.0,0.807
17,2017,50.0,44.186,,,,5480.89,,24230.699,92000.0,,,,,38.5965,263000.0,,,,,77.5,75.0,13.0,12.0,92.308,1.0,7.0,97.0,0.378
18,2018,51.2397,44.186,,,,5207.24,,21751.5,86702.0,,,,,43.8596,267000.0,26.0,,,,77.2,75.0,14.0,12.0,85.714,1.0,8.0,99.0,0.357
19,2019,,,,,,,,,,,,,,,267000.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
