,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,25.2066,11.6279,,,,,,,,,,,,31.5789,106000.0,,,,,,50.0,13.0,11.0,84.615,,10.0,90.0,
6,2006,19.8347,9.3023,,,,2408.32,,,,,,,,8.7719,98000.0,,,,,,55.3571,15.0,11.0,73.333,1.0,10.0,90.0,
7,2007,40.0826,35.6589,,,,2194.17,,,36700.0,164.7,239.9,,,29.8246,86600.0,,,,,,60.7143,14.0,12.0,85.714,1.0,11.0,88.0,
8,2008,42.1488,37.2093,,,,2018.77,,,54000.0,179.3,257.7,,0.975,29.8246,81800.0,,,,,,66.0714,15.0,13.0,86.667,1.0,13.0,88.0,12.18
9,2009,41.7355,36.4341,,,,2850.0,,,60000.0,184.2,252.4,,,29.8246,116500.0,,,,,,66.0714,16.0,14.0,87.5,1.0,10.0,91.0,1.152
10,2010,43.3884,40.3101,,,,2710.0,,,61000.0,194.0,261.0,,,33.3333,110600.0,,,,,,60.7143,15.0,13.0,86.667,1.0,14.0,88.0,
11,2011,42.562,38.7597,,,,2660.0,,,54000.0,203.0,263.0,,,33.3333,103700.0,,,,,,60.7143,15.0,14.0,93.333,1.0,8.0,94.0,
12,2012,43.3884,37.9845,,,,1790.0,,,46100.0,131.6,170.7,,,33.3333,91500.0,,,,,,66.0714,14.0,13.0,92.857,1.0,8.0,89.0,1.085
13,2013,42.9752,39.5349,,,,1670.0,,,44200.0,116.4,154.3,,,33.3333,77700.0,,,,,,60.7143,12.0,11.0,91.667,1.0,6.0,80.0,
14,2014,42.9752,39.5349,,,,1570.0,,,40900.0,119.6,151.6,,,33.3333,78300.0,,,,,,60.7143,13.0,12.0,92.308,1.0,16.0,89.0,
15,2015,43.8017,41.0853,,,,1510.0,,,44400.0,131.4,166.5,,0.003,33.3333,97900.0,,,,,,60.7143,11.0,10.0,90.909,1.0,13.0,90.0,
16,2016,46.281,45.7364,,,,2050.0,,6305.56,41200.0,116.7,166.4,,0.2,33.3333,96500.0,,,,,,60.7143,11.0,10.0,90.909,1.0,9.0,75.0,
17,2017,49.5868,49.6124,,,,1710.0,,5250.0,33800.0,102.4,141.7,,0.035,33.3333,90200.0,,,,,,66.0714,12.0,11.0,91.667,1.0,7.0,75.0,5.316
18,2018,49.5868,49.6124,,,,1680.0,,5638.89,36700.0,89.8,139.3,,0.021,38.5965,92400.0,,,,,0.7,60.7143,12.0,10.0,83.333,1.0,7.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
