,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,15.7895,1.7856999999999998,,,,,,,,,,,,8.3333,16585.0,,,,,,51.7857,13.0,11.0,84.615,3.0,6.0,75.0,
8,2008,15.7895,1.7856999999999998,,,,,,,,,,,,8.3333,16234.0,,,,,,51.7857,13.0,11.0,84.615,3.0,11.0,75.0,
9,2009,15.7895,1.7856999999999998,,,,,,,,,,,,8.3333,14487.0,,,,,,51.7857,12.0,10.0,83.333,3.0,20.0,75.0,
10,2010,16.6667,1.7856999999999998,,,,,,,,,,,,8.3333,13627.0,,,,,,55.3571,11.0,10.0,90.909,3.0,8.0,75.0,
11,2011,16.6667,1.7856999999999998,,,,,,,,,,,,8.3333,13527.0,,,,,,55.3571,11.0,10.0,90.909,3.0,11.0,75.0,
12,2012,27.193,20.5357,,,,62.871,,97.182,,,,,,8.3333,13373.0,,,,,,60.7143,11.0,10.0,90.909,3.0,11.0,75.0,
13,2013,29.8246,20.5357,,,,60.883,,94.229,,,,,,18.3333,14792.0,,,,,,60.7143,11.0,10.0,90.909,3.0,10.0,75.0,
14,2014,32.4561,25.8929,,,,60.369,,96.448,,,,,,18.3333,14873.0,,,,,,60.7143,12.0,11.0,91.667,3.0,9.0,75.0,
15,2015,35.0877,25.8929,,,,54.641,,85.928,,,,,,28.3333,14895.0,,,,,13.6,60.7143,12.0,10.0,83.333,3.0,10.0,75.0,
16,2016,29.8246,15.1786,,,,,,,,,,,,28.3333,14854.0,,,,,13.2,60.7143,11.0,10.0,90.909,3.0,10.0,75.0,
17,2017,32.4561,20.5357,,,,,,,,,,,,28.3333,15378.0,,,,,14.2,60.7143,12.0,11.0,91.667,3.0,10.0,75.0,
18,2018,35.9649,20.5357,,,,,,,,,,,,36.6667,16475.0,,33.33,,,,66.0714,11.0,10.0,90.909,3.0,12.0,75.0,
19,2019,,,,,,,,,,,,,,,17601.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
