,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,42.1488,37.9845,,,,6249.0,,21666.699,91000.0,21.0,894.0,48.0,0.127,36.8421,140000.0,39.0,39.3,,,,57.1429,12.0,10.0,83.333,3.0,8.0,93.0,
7,2007,38.843,35.6589,,,,6373.0,,21578.1,89688.0,48.0,983.0,37.0,0.106,22.807,138000.0,,,,,,62.5,12.0,9.0,75.0,3.0,7.0,95.0,0.449
8,2008,38.843,35.6589,,,,6385.0,,21083.6,86958.0,30.0,935.0,82.0,0.305,22.807,138000.0,,,,,,62.5,12.0,10.0,83.333,1.0,9.0,83.0,0.34
9,2009,39.6694,37.2093,,,,5824.0,,19623.9,78556.0,27.0,871.0,34.0,0.015,22.807,135000.0,,,,,,62.5,13.0,11.0,84.615,1.0,7.0,95.0,0.46
10,2010,39.6694,37.2093,,,,5904.0,,19956.1,80914.0,45.0,1048.0,46.0,0.112,22.807,127000.0,,,,,,62.5,10.0,8.0,80.0,1.0,8.0,97.0,0.118
11,2011,39.6694,37.2093,,,,4200.0,,20555.0,79999.0,23.0,1025.0,36.0,0.053,22.807,129000.0,,,,,,62.5,11.0,10.0,90.909,1.0,8.0,98.0,0.15
12,2012,40.9091,37.2093,,,,5827.0,,20085.0,78564.0,20.0,985.0,34.0,0.094,28.0702,126000.0,,,,,,62.5,11.0,10.0,90.909,1.0,7.0,97.0,4.04
13,2013,40.9091,37.2093,,,,5700.0,,20085.301,74300.0,19.0,949.0,43.0,0.709,28.0702,121000.0,,,,,,62.5,12.0,11.0,91.667,1.0,12.0,97.0,3.96
14,2014,39.6694,37.2093,,,,5400.0,,18384.199,69681.0,5.0,1119.0,34.0,0.095,28.0702,118000.0,,,,,,57.1429,11.0,10.0,90.909,1.0,10.0,96.0,
15,2015,39.6694,37.2093,,,,5465.0,,17815.0,68424.0,4.0,807.0,27.0,0.445,28.0702,110000.0,,,,,,57.1429,12.0,11.0,91.667,1.0,7.0,96.0,
16,2016,40.9091,39.5349,,,,5056.0,,16500.301,64192.0,8.0,640.0,29.0,0.046,28.0702,105000.0,,,,,,57.1429,12.0,11.0,91.667,1.0,8.0,96.0,
17,2017,45.4545,45.7364,,,,4924.0,,16328.6,62028.0,3.0,676.0,24.0,0.103,28.0702,95000.0,,,,,,62.5,11.0,10.0,90.909,1.0,7.0,95.0,
18,2018,54.9587,55.0388,,,,4736.62,2.5,16914.199,63419.0,2.0,727.0,15.0,0.249,43.8596,92000.0,39.59,31.36,,,,66.0714,13.0,12.0,92.308,1.0,13.0,96.5,
19,2019,50.0,52.7132,,,,4754.08,2.4,16993.301,63125.0,2.62,655.0,21.0,0.017,33.3333,97000.0,,,,,0.68,60.7143,11.0,10.0,90.909,1.0,7.0,95.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
