,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,12.8099,,,,,,,,,,,,,3.5088,57338.0,,,,,,51.7857,10.0,9.0,90.0,3.0,7.0,75.0,
8,2008,15.2893,2.3256,,,,,,,,,,,,8.7719,61722.0,,,,,,51.7857,10.0,9.0,90.0,3.0,5.0,75.0,
9,2009,15.2893,2.3256,,,,,,,,,,,,8.7719,51639.0,,,,,,51.7857,11.0,10.0,90.909,1.0,5.0,75.0,
10,2010,16.9421,3.876,,,,,,,,,,,,8.7719,54800.0,,,,,,55.3571,13.0,12.0,92.308,1.0,5.0,75.0,
11,2011,18.1818,3.876,,,,,,,,,,,,14.0351,58400.0,,,,,,55.3571,12.0,11.0,91.667,1.0,4.0,75.0,
12,2012,20.2479,9.3023,,,,,,,,,,,,14.0351,59300.0,,,,,,51.7857,11.0,10.0,90.909,1.0,6.0,75.0,
13,2013,21.4876,11.6279,,,,,,,,,,,,14.0351,58150.0,,,,,,51.7857,11.0,10.0,90.909,1.0,5.0,73.63,
14,2014,23.9669,13.9535,,,,,,,,,,,,19.2982,57450.0,,,,,,51.7857,12.0,11.0,91.667,1.0,7.0,75.0,
15,2015,22.7273,11.6279,,,,,,,,,,,,19.2982,54750.0,,,,,,51.7857,14.0,11.0,78.571,1.0,7.0,75.0,
16,2016,23.1405,12.4031,,,,,,,,,,,,19.2982,48950.0,,,,,,51.7857,14.0,11.0,78.571,1.0,7.0,75.0,
17,2017,25.2066,16.2791,,,,566.28,,1212.34,,,,,,19.2982,56690.0,,,,,,51.7857,13.0,11.0,84.615,1.0,9.0,75.0,
18,2018,24.3802,11.6279,,,,,,,,,,,,22.807,57170.0,,,,,,55.3571,13.0,11.0,84.615,1.0,7.0,75.0,
19,2019,,,,,,,,,,,,,,,55610.0,,,,,,,11.0,9.0,81.818,1.0,9.0,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
