,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,17.7686,6.9767,,,,,,,,,,,,8.7719,8100.0,,,,,,51.7857,7.0,6.0,85.714,1.0,4.0,75.0,
9,2009,17.7686,6.9767,,,,,,,,,,,,8.7719,8000.0,,,,,,51.7857,7.0,6.0,85.714,1.0,4.0,75.0,
10,2010,18.595,8.5271,,,,,,,,,,,,8.7719,8100.0,,,,,,51.7857,9.0,7.0,77.778,1.0,5.0,75.0,
11,2011,18.595,8.5271,,,,,,,,,,,,8.7719,8300.0,,,,,,51.7857,9.0,7.0,77.778,1.0,4.0,100.0,
12,2012,18.595,8.5271,,,,,,,,,,,,8.7719,8600.0,,,,,,51.7857,9.0,7.0,77.778,1.0,4.0,100.0,
13,2013,18.595,8.5271,,,,,,,,,,,,8.7719,13600.0,,,,,,51.7857,9.0,7.0,77.778,1.0,6.0,90.0,
14,2014,21.0744,8.5271,,,,,,,,,,,,19.2982,14000.0,,,,,,51.7857,10.0,8.0,80.0,1.0,5.0,100.0,
15,2015,21.0744,8.5271,,,,,,,,,,,,19.2982,13000.0,,,,,,51.7857,11.0,9.0,81.818,1.0,5.0,75.0,
16,2016,35.124,32.5581,,,,,4.7,31444.4,283500.0,,661.0,,,24.5614,14000.0,,,,0.0,,51.7857,11.0,9.0,81.818,1.0,5.0,100.0,
17,2017,51.2397,54.2636,,,,2895.87,5.8,27833.1,288204.0,,451.237,0.0,0.0,38.5965,14631.0,15.99,,,0.0,,57.1429,11.0,9.0,81.818,1.0,8.0,100.0,
18,2018,51.6529,52.7132,,,,2980.0,6.4,31638.9,280300.0,,777.8,0.0,0.0,43.8596,14950.0,17.0,,,0.0,2.566,57.1429,11.0,9.0,81.818,1.0,5.0,100.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
