,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,16.9421,6.9767,,,,58.853,,,,,,,,8.7719,8500.0,,,,,,48.2143,10.0,8.0,80.0,1.0,7.0,75.0,
7,2007,18.1818,6.9767,,,,63.521,,,526.358,0.432,,,,14.0351,8700.0,,,,,,48.2143,9.0,7.0,77.778,1.0,10.0,75.0,
8,2008,19.4215,6.9767,,,,64.676,,,484.749,0.477,,,,19.2982,7900.0,,,,,,48.2143,10.0,8.0,80.0,1.0,6.0,75.0,
9,2009,19.4215,6.9767,,,,64.65,,,472.625,0.277,,,,19.2982,8200.0,,,,,,48.2143,9.0,8.0,88.889,1.0,6.0,75.0,
10,2010,32.2314,16.2791,,,,40.548,,,200.568,0.285,,,,38.5965,6200.0,,,,,,62.5,9.0,8.0,88.889,1.0,10.0,75.0,
11,2011,29.7521,13.9535,,,,41.924,,,191.726,0.407,,,,38.5965,7200.0,,,,,,57.1429,9.0,8.0,88.889,1.0,12.0,75.0,
12,2012,34.2975,20.155,,,,44.034,,,188.57,0.671,,,,38.5965,7500.0,,,,,,62.5,8.0,7.0,87.5,1.0,10.0,75.0,
13,2013,36.7769,29.4574,,,,44.034,,,165.925,0.189,,,,33.3333,7600.0,,,,,,57.1429,8.0,7.0,87.5,1.0,9.0,75.0,
14,2014,36.7769,29.4574,,,,41.102,,,169.795,0.267,,,,33.3333,7700.0,,,,,,57.1429,8.0,7.0,87.5,1.0,8.0,75.0,
15,2015,31.8182,24.8062,,,,38.089,,,207.0,,,,,28.0702,8000.0,,,,,,51.7857,8.0,7.0,87.5,1.0,7.0,75.0,
16,2016,42.1488,42.6357,,,,37.413,,121.561,173.0,,,,,28.0702,8000.0,,,,,,55.3571,10.0,9.0,90.0,1.0,8.0,75.0,
17,2017,36.3636,31.7829,,,,33.427,,,164.0,,,,,28.0702,11000.0,,,,,,55.3571,9.0,8.0,88.889,1.0,9.0,75.0,
18,2018,33.8843,27.1318,,,,33.595,,,156.0,,,,,28.0702,12500.0,,,,,,55.3571,9.0,8.0,88.889,1.0,7.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
