,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2009,33.8843,24.8062,,,,13.52,,,,,,,,21.0526,1146.0,,,,,,67.8571,9.0,8.0,88.889,1.0,6.0,75.0,
10,2010,24.7934,20.155,,,,14.088,,,,,,,,8.7719,,,,,,,51.7857,9.0,8.0,88.889,1.0,5.0,75.0,
11,2011,37.6033,28.6822,,,,8.667,,,,,,,,28.0702,1457.0,52.18,,,,0.786,67.8571,11.0,9.0,81.818,1.0,9.0,75.0,
12,2012,37.6033,28.6822,,,,7.734,,,,,,,,22.807,1445.0,,,,,0.73,73.2143,11.0,10.0,90.909,1.0,5.0,75.0,
13,2013,38.843,28.6822,,,,7.836,,,,,,,,33.3333,1456.0,51.23,,,,0.64,67.8571,10.0,9.0,90.0,1.0,4.0,75.0,
14,2014,37.6033,28.6822,,,,7.558,,,,,,,,33.3333,1505.0,50.16,,,,0.4,62.5,9.0,8.0,88.889,1.0,4.0,75.0,
15,2015,37.6033,28.6822,,,,7.018,,,,,,,,33.3333,1598.0,49.93,,,,1.1,62.5,10.0,9.0,90.0,1.0,7.0,75.0,
16,2016,41.3223,33.3333,,,,6.589,,10.25,,,,,,38.5965,1582.0,50.0,,,,0.9,62.5,10.0,9.0,90.0,1.0,5.0,75.0,
17,2017,42.562,36.4341,,,,6.305,,19.632,,,,,,33.3333,1606.0,50.934,,,,2.0,66.0714,10.0,9.0,90.0,1.0,4.0,75.0,
18,2018,42.562,36.4341,,,,5.961,,18.64,,,,,,33.3333,1617.0,51.87,,,,2.6,66.0714,12.0,11.0,91.667,1.0,6.0,75.0,
19,2019,,,,,,,,,,,,,,,1712.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
