,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,12.8099,,,,,,,,,,,,,3.5088,75600.0,,,,,,51.7857,9.0,7.0,77.778,1.0,6.0,75.0,
9,2009,25.2066,23.2558,,,,716.471,,2365.07,,,,,,3.5088,77300.0,,,,,,51.7857,9.0,8.0,88.889,1.0,7.0,75.0,
10,2010,28.5124,27.907,,,,768.773,,2041.42,,,,,,3.5088,78300.0,,,,,,55.3571,10.0,8.0,80.0,1.0,7.0,75.0,
11,2011,37.6033,31.0078,,,,774.524,,2634.08,,,,,,24.5614,78100.0,,,,,34.354,66.0714,12.0,10.0,83.333,1.0,6.0,75.0,0.111
12,2012,38.4298,34.8837,,,,875.845,,2165.87,,,,,,24.5614,87100.0,,,,,38.326,60.7143,12.0,10.0,83.333,1.0,6.0,90.0,
13,2013,41.3223,42.6357,,,,828.407,,2539.35,4314.0,,131.748,,,24.5614,91100.0,,,,,39.045,55.3571,12.0,9.0,75.0,1.0,6.0,90.0,
14,2014,47.5207,45.7364,,,,746.286,,2418.86,3886.4,,133.488,,,38.5965,82500.0,,,,,31.218,60.7143,12.0,9.0,75.0,1.0,6.0,75.0,0.676
15,2015,52.0661,49.6124,,,,809.94,,2229.32,3654.2,,127.361,,,49.1228,80200.0,40.6,,,,29.683,60.7143,12.0,9.0,75.0,1.0,6.0,75.0,0.079
16,2016,52.0661,49.6124,,,,802.251,,2286.2,3441.5,,130.077,,,49.1228,79500.0,41.2,,,,30.17,60.7143,13.0,10.0,76.923,1.0,6.0,75.0,0.149
17,2017,58.6777,58.1395,387.009,,,827.28,,2465.28,5695.3,1.357,140.316,,,49.1228,80600.0,41.6,,,1.0,29.737,69.6429,13.0,11.0,84.615,1.0,7.0,75.0,0.102
18,2018,59.0909,55.814,406.362,,,830.499,,2598.11,,1.423,134.367,,,54.386,77400.0,42.1,15.2,,1.0,28.538,71.4286,12.0,10.0,83.333,1.0,6.0,75.0,0.072
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
