,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,13.5965,,,,,,,,,,,,,3.3333,25480.0,,,,,,51.7857,18.0,17.0,94.444,1.0,17.0,75.0,
8,2008,14.473700000000001,,,,,,,,,,,,,3.3333,59595.0,,,,,,55.3571,18.0,16.0,88.889,1.0,15.0,75.0,
9,2009,25.0,23.2143,,,,361.766,,570.764,1575.06,,,,,3.3333,55820.0,,,,,,51.7857,17.0,15.0,88.235,1.0,14.0,75.0,
10,2010,29.8246,28.5714,,,,326.003,,769.737,1575.06,,,,,11.6667,44817.0,,,,,,51.7857,16.0,15.0,93.75,1.0,12.0,75.0,
11,2011,30.7018,28.5714,,,,429.381,,758.032,1428.1,,,,,11.6667,51891.0,,,,,,55.3571,15.0,14.0,93.333,1.0,16.0,75.0,
12,2012,34.6491,31.25,,,,446.02,,772.061,1696.23,,,,,21.6667,56000.0,64.0,,,,,55.3571,15.0,14.0,93.333,1.0,10.0,75.0,
13,2013,37.2807,31.25,,,,424.148,,762.992,1525.95,,,,,26.6667,54433.0,62.0,,,,,60.7143,15.0,14.0,93.333,1.0,12.0,75.0,0.132
14,2014,35.9649,31.25,,,,421.132,,792.198,1289.84,,,,,21.6667,53587.0,62.0,,,,,60.7143,13.0,12.0,92.308,1.0,11.0,75.0,0.297
15,2015,41.2281,33.9286,,,,342.863,,695.844,1365.88,,12.5,,,31.6667,52530.0,61.26,,,,23.0,66.0714,14.0,13.0,92.857,1.0,10.0,99.0,0.405
16,2016,41.2281,31.25,,,,335.011,,642.632,1316.15,,,,,41.6667,52023.0,60.4,,,,,60.7143,13.0,12.0,92.308,1.0,13.0,97.0,
17,2017,45.1754,33.9286,,,,301.694,,600.775,1217.8,,,,,51.6667,52906.0,59.9,30.1,,,,60.7143,14.0,13.0,92.857,1.0,11.0,99.0,
18,2018,47.3684,38.3929,,,,249.396,,572.895,1128.65,,,,,51.6667,53063.0,59.5,31.4,,,,60.7143,11.0,10.0,90.909,1.0,10.0,98.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
