,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,14.876,1.5504,,,,,,,,,,,,8.7719,16000.0,,,,,,51.7857,11.0,10.0,90.91,3.0,5.0,75.0,
8,2008,,,,,,,,,,,,,,,14700.0,,,,,,,10.0,9.0,90.0,3.0,8.0,75.0,
9,2009,17.3554,3.876,,,,,,,,,,,,14.0351,13150.0,,,,,,51.7857,10.0,9.0,90.0,3.0,6.0,75.0,
10,2010,17.3554,3.876,,,,,,,,,,,,14.0351,14300.0,,,,,,51.7857,10.0,9.0,90.0,3.0,8.0,75.0,
11,2011,17.3554,3.876,,,,,,,,,,,,14.0351,15300.0,,,,,,51.7857,10.0,9.0,90.0,3.0,7.0,75.0,
12,2012,17.3554,3.876,,,,,,,,,,,,14.0351,29700.0,,,,,,51.7857,11.0,10.0,90.909,3.0,9.0,75.0,
13,2013,21.0744,8.5271,,,,,,,,,,,,19.2982,28600.0,,,,,,51.7857,11.0,10.0,90.909,1.0,5.0,75.0,
14,2014,21.0744,8.5271,,,,,,,,,,,,19.2982,28400.0,,,,,,51.7857,11.0,10.0,90.909,1.0,5.0,75.0,
15,2015,31.8182,24.8062,188.186,345.036,0.702,,,491.297,,,,,,28.0702,27600.0,,,,,,51.7857,11.0,10.0,90.909,1.0,5.0,75.0,
16,2016,44.6281,34.8837,190.36,356.622,0.806,,,442.48,859.704,,60.812,,,49.1228,26000.0,24.7,,,,4.2,62.5,12.0,11.0,91.667,1.0,5.0,75.0,0.0
17,2017,46.281,34.1085,,363.79,0.689,,,527.777,840.946,,73.12,,,54.386,18400.0,25.3,,,,4.3,66.0714,12.0,11.0,91.667,1.0,6.0,98.0,0.0
18,2018,43.8017,34.1085,,80.478,0.33,,,244.227,518.154,,41.399,,,43.8596,9497.0,30.0,,,,3.1,66.0714,8.0,7.0,87.5,1.0,6.0,100.0,0.0
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
