,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,40.7547,35.1724,,16000.0,,,32.793,,138041.0,0.019,8.519,,,35.9375,7600.0,,,,0.0,4.649,60.7143,12.0,11.0,91.667,1.0,10.0,85.0,
8,2008,49.8113,46.8966,16315.9,16338.2,,16401.6,30.256,,140971.0,0.011,7.216,4.0,0.022,46.875,7500.0,22.08,15.3,108.0,1.0,,60.7143,12.0,11.0,91.667,1.0,8.0,80.0,
9,2009,50.9434,48.9655,15569.9,15593.2,,15654.5,27.953,,143860.0,0.011,4.719,,,46.875,7200.0,,,97.0,1.0,3.028,60.7143,13.0,11.0,84.615,1.0,9.0,75.0,
10,2010,50.9434,48.9655,15185.6,15207.8,,15267.7,26.831,,146563.0,0.014,7.886,,,46.875,6740.0,,,65.0,0.0,5.244,60.7143,12.0,11.0,91.667,1.0,11.0,75.0,
11,2011,48.6792,46.8966,15228.2,15249.1,,15293.6,26.184,,147293.0,0.008,4.445,,,42.1875,6700.0,,,58.0,0.0,,60.7143,12.0,11.0,91.667,1.0,8.0,75.0,
12,2012,50.1887,44.8276,14635.6,14655.5,,14657.9,23.54,,147891.0,0.018,8.098,,,53.125,6620.0,22.99,25.0,47.0,,1.75,60.7143,10.0,9.0,90.0,1.0,8.0,75.0,
13,2013,50.1887,45.5172,,,,14245.8,22.936,,144628.0,0.005,6.805,,,51.5625,6433.0,,26.15,35.0,0.0,6.582,60.7143,9.0,8.0,88.889,1.0,7.0,75.0,
14,2014,46.0377,45.5172,,,,14460.3,20.722,,138181.0,0.028,21.628,,,34.375,6366.0,,,44.0,,7.3469999999999995,60.7143,11.0,10.0,90.909,1.0,7.0,75.0,
15,2015,47.5472,50.3448,13580.7,,,13643.7,20.865,35274.102,138792.0,,,,,29.6875,6407.0,,,43.0,,7.766,60.7143,10.0,9.0,90.0,1.0,7.0,100.0,
16,2016,49.8113,52.4138,10028.0,,,10126.6,13.486,26199.6,132196.0,,,,,29.6875,6300.0,,,35.0,,7.1,66.0714,11.0,10.0,90.909,1.0,8.0,90.0,
17,2017,49.8113,52.4138,10730.9,,,10838.9,13.728,31238.301,137917.0,,,,,29.6875,6292.0,,,33.0,,9.8,66.0714,11.0,10.0,90.909,1.0,7.0,90.0,0.155
18,2018,45.283,44.1379,11935.0,,,12022.4,,32646.0,135547.0,,,,,29.6875,6259.0,,,36.0,,10.8,66.0714,11.0,10.0,90.909,1.0,7.0,95.0,0.237
19,2019,,,,,,,,,,,,,,,6210.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
