,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,25.2066,23.2558,,,,6690.0,21.572,,594000.0,78.684,289.518,,,3.5088,32200.0,,,,,,51.7857,10.0,9.0,90.0,3.0,8.0,96.0,
7,2007,27.2727,27.1318,,,,6927.13,20.66,,431000.0,80.855,320.109,,,3.5088,34900.0,,,,,,51.7857,10.0,9.0,90.0,3.0,9.0,94.0,
8,2008,30.9917,27.1318,,,,6248.26,17.672,,421000.0,80.071,308.854,,,14.0351,42800.0,,,,,,57.1429,10.0,9.0,90.0,3.0,9.0,90.0,
9,2009,28.5124,25.5814,,,,5560.0,16.114,,444000.0,83.76,272.975,,,12.2807,39896.0,,,,1.0,,51.7857,10.0,9.0,90.0,3.0,8.0,96.0,
10,2010,35.124,34.8837,,,,6090.0,18.243,23287.699,449000.0,82.464,352.629,,,14.0351,38300.0,,,,2.0,,57.1429,11.0,10.0,90.909,3.0,8.0,98.0,
11,2011,32.6446,30.2326,,,,5680.0,17.089,22846.699,462000.0,90.781,350.227,,,14.0351,38400.0,,,,1.0,,57.1429,11.0,10.0,90.909,3.0,8.0,98.0,0.081
12,2012,38.843,32.5581,,,,5800.0,16.0,23079.0,430000.0,97.0,358.0,,,29.8246,39200.0,,,,,5.4,62.5,12.0,11.0,91.667,3.0,9.0,97.0,0.105
13,2013,29.3388,15.5039,,,,,,,,,,,,29.8246,41400.0,,,,,5.4,60.7143,12.0,11.0,91.667,3.0,9.0,95.0,
14,2014,30.1653,17.0543,,,,,,,,,,,,29.8246,44400.0,,,,,5.7,60.7143,9.0,8.0,88.889,3.0,10.0,95.0,
15,2015,37.6033,29.4574,,,,,,7244.44,20010.0,89.89,316.53,,,33.3333,46600.0,,,,,7.8,60.7143,11.0,9.0,81.818,3.0,8.0,98.0,
16,2016,40.4959,32.5581,,,,1840.0,,6419.44,19400.0,101.01,314.41,,,38.5965,47000.0,24.36,,,,9.8,60.7143,10.0,9.0,90.0,3.0,10.0,96.0,
17,2017,41.7355,32.5581,,,,1170.0,,3616.67,18560.0,103.15,216.78,,,43.8596,47200.0,24.74,,,,10.5,60.7143,11.0,10.0,90.909,3.0,12.0,99.0,
18,2018,44.2149,37.2093,,,,930.0,1.302,3622.22,17580.0,103.95,209.19,,,43.8596,47300.0,25.3,,,,9.377,60.7143,11.0,10.0,90.909,3.0,11.0,99.0,
19,2019,,,,,,,,,,,,,,,47600.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
