,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,35.0943,22.7586,,30100.0,,,44.834,,,,,7.0,0.282,39.0625,12620.0,,,,,3.8,62.5,10.0,9.0,90.0,3.0,6.0,75.0,0.292
7,2007,32.8302,22.7586,,31200.0,,,46.5,,,,,7.0,0.613,39.0625,11150.0,,,,,3.085,51.7857,10.0,9.0,90.0,3.0,6.0,75.0,
8,2008,29.0566,15.8621,,,,,,,,,,8.0,1.5939999999999999,34.375,10554.0,,,,,3.5709999999999997,57.1429,10.0,9.0,90.0,3.0,6.0,75.0,
9,2009,26.7925,14.4828,,,,,,,,,,,0.099,29.6875,10489.0,,,,,4.678,55.3571,11.0,10.0,90.909,3.0,7.0,75.0,
10,2010,27.9245,13.7931,,,,,,,,,,,0.024,35.9375,12459.0,,,,0.0,8.678,55.3571,10.0,9.0,90.0,1.0,9.0,75.0,
11,2011,20.3774,10.3448,,,,,,,,,,,,12.5,17722.0,,,,,,55.3571,11.0,9.0,81.818,1.0,7.0,75.0,
12,2012,20.3774,10.3448,,,,,,,,,,,,12.5,17729.0,,,,,,55.3571,11.0,10.0,90.909,1.0,6.0,99.0,
13,2013,34.3396,20.0,,,,,,,,0.094,0.094,14.0,0.557,43.75,18108.0,20.9,,,,12.104,60.7143,12.0,11.0,91.667,1.0,6.0,94.0,
14,2014,32.0755,17.2414,,44000.0,,,,,,0.35,,,0.025,40.625,15960.0,21.3,,,,,60.7143,14.0,12.0,85.714,1.0,8.0,97.0,
15,2015,37.3585,20.0,,29973.4,,,,,,0.46,,,,53.125,12802.0,21.5,,,,12.3,64.2857,9.0,8.0,88.889,1.0,7.0,95.0,
16,2016,47.9245,37.931,,28480.0,9.86,30204.4,18.38,2888.35,,0.744,,,,53.125,12700.0,21.1,,,,11.0,67.8571,9.0,8.0,88.889,1.0,7.0,96.0,
17,2017,53.5849,47.5862,,,,29145.6,15.71,3484.32,970441.0,0.829,,,,53.125,12512.0,21.4,,,,10.0,69.6429,9.0,8.0,88.889,1.0,6.0,95.0,0.01
18,2018,53.2075,47.5862,,,,29947.0,17.329,2574.85,967322.0,0.791,,,,51.5625,12642.0,21.5,,,0.0,12.0,69.6429,10.0,9.0,90.0,1.0,7.0,95.0,0.0
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
