,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,14.0496,,,,,,,,,,,,,8.7719,6200.0,,,,,,51.7857,10.0,7.0,70.0,3.0,8.0,75.0,
9,2009,14.0496,,,,,,,,,,,,,8.7719,7250.0,,,,,,51.7857,11.0,8.0,72.727,3.0,7.0,75.0,
10,2010,14.0496,,,,,,,,,,,,,8.7719,7700.0,,,,,,51.7857,11.0,9.0,81.818,3.0,8.0,75.0,
11,2011,18.595,6.2016,,,,161.0,,,1782.11,,,,,14.0351,8700.0,,,162.0,,,51.7857,11.0,10.0,90.909,3.0,6.0,75.0,
12,2012,26.0331,13.1783,,,,171.0,,,1584.68,,,,,29.8246,8800.0,,,147.0,,,51.7857,10.0,9.0,90.0,3.0,8.0,75.0,
13,2013,24.7934,15.5039,,,,170.0,,,1601.99,,,,,33.3333,9900.0,,,178.0,,,37.5,11.0,10.0,90.909,3.0,,,
14,2014,32.6446,26.3566,,,,218.781,,499.249,1299.22,,,,,28.0702,10220.0,,,,,,51.7857,11.0,10.0,90.909,1.0,11.0,75.0,
15,2015,38.843,35.6589,,232.758,0.416,211.534,,559.409,1666.32,,24.202,,0.01,33.3333,13500.0,44.0,,,,,51.7857,11.0,9.0,81.818,1.0,10.0,75.0,
16,2016,35.5372,27.907,,232.116,,232.415,,,1597.39,,23.327,6.0,0.021,33.3333,12800.0,48.0,,103.0,0.0,,55.3571,10.0,9.0,90.0,1.0,20.0,75.0,
17,2017,36.7769,26.3566,,,,171.211,,,1232.23,,,1.0,0.001,38.5965,10400.0,48.0,,120.0,0.0,,58.9286,11.0,10.0,90.909,1.0,25.0,75.0,
18,2018,35.124,23.2558,,,,148.328,,,1210.61,,,,,38.5965,10600.0,49.0,,127.0,0.0,,58.9286,11.0,10.0,90.909,1.0,15.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
