,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,17.5439,8.0357,,,,102.559,,,,,,,,3.3333,39814.0,,,,,,51.7857,12.0,11.0,91.667,1.0,10.0,99.0,
7,2007,19.7368,9.8214,,,,100.99,,,,,,,,3.3333,40703.0,,,,,,57.1429,14.0,12.0,85.714,1.0,11.0,99.0,0.425
8,2008,19.7368,9.8214,,,,95.456,,,,,,,,3.3333,41844.0,,,,,,57.1429,14.0,12.0,85.714,1.0,12.0,87.5,6.02
9,2009,17.9825,1.7856999999999998,,,,,,,,,,,,3.3333,41943.0,,,,,,66.0714,14.0,12.0,85.714,1.0,16.0,97.5,5.892
10,2010,17.9825,1.7856999999999998,,,,,,,,,,,,3.3333,41044.0,,,,,,66.0714,14.0,12.0,85.714,1.0,12.0,90.0,6.615
11,2011,33.3333,28.5714,,,,78.375,,141.727,304.392,,,,,11.6667,50104.0,,,,,,66.0714,13.0,11.0,84.615,1.0,11.0,98.0,5.9190000000000005
12,2012,36.4035,28.5714,,,,75.703,,138.298,306.753,,,,,16.6667,48498.0,,,,,,73.2143,13.0,11.0,84.615,1.0,11.0,75.0,5.335
13,2013,37.7193,31.25,,,,73.307,,166.71,291.948,,,,,21.6667,47355.0,42.0,,,,,67.8571,13.0,11.0,84.615,1.0,10.0,100.0,4.804
14,2014,38.5965,28.5714,,,,74.906,,175.835,303.376,,,,,26.6667,48331.0,44.14,,,,12.0,71.4286,12.0,10.0,83.333,1.0,10.0,98.0,6.8309999999999995
15,2015,37.2807,25.8929,,,,69.045,,159.05,,,,,,26.6667,49384.0,47.08,,,,15.0,71.4286,12.0,10.0,83.333,1.0,10.0,98.0,7.456
16,2016,38.5965,28.5714,,,,70.903,,163.95,,,,,,26.6667,49739.0,46.04,,,,15.0,71.4286,13.0,11.0,84.615,1.0,11.0,99.0,8.242
17,2017,42.5439,31.25,,,,70.627,,213.953,,,,,,36.6667,49705.0,47.27,35.0,,,23.0,71.4286,12.0,10.0,83.333,1.0,9.0,99.0,9.264
18,2018,43.8596,31.25,,,,72.517,,220.487,,,,,,36.6667,50492.0,47.0,35.0,,,24.4,76.7857,13.0,10.0,76.923,1.0,8.0,99.0,7.902
19,2019,,,,,,,,,,,,,,,51511.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
