,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,12.8099,,,,,,,,,,,,,3.5088,5700.0,,,,,,51.7857,10.0,6.0,60.0,2.0,6.0,75.0,
8,2008,12.8099,,,,,,,,,,,,,3.5088,5200.0,,,,,,51.7857,11.0,7.0,63.636,1.0,7.0,75.0,
9,2009,14.0496,,,,,,,,,,,,,8.7719,4900.0,,,,,,51.7857,11.0,7.0,63.64,2.0,5.0,75.0,
10,2010,13.6364,,,,,,,,,,,,,3.5088,4900.0,,,,,,55.3571,13.0,9.0,69.231,1.0,9.0,75.0,
11,2011,13.6364,,,,,,,,,,,,,3.5088,5000.0,,,,,,55.3571,9.0,5.0,55.556,1.0,6.0,75.0,
12,2012,17.3554,6.9767,,,,,,,,,,,,3.5088,5000.0,,,,,,55.3571,8.0,5.0,62.5,1.0,5.0,75.0,
13,2013,17.7686,6.9767,,,,,,,,,,,,14.0351,5200.0,,,,,,46.4286,8.0,5.0,62.5,1.0,,75.0,
14,2014,19.0083,6.9767,,,,,,,,,,,,14.0351,5300.0,,,,,,51.7857,8.0,5.0,62.5,1.0,6.0,80.0,
15,2015,19.0083,6.9767,,,,,,,,,,,,14.0351,5300.0,,,,,,51.7857,8.0,5.0,62.5,1.0,5.0,77.5,
16,2016,19.0083,6.9767,,,,,,,,,,,,14.0351,5500.0,,,,,,51.7857,8.0,5.0,62.5,1.0,5.0,100.0,
17,2017,20.6612,8.5271,,,,,,,,,,,,14.0351,5600.0,,,,,,55.3571,9.0,6.0,66.667,1.0,5.0,75.0,
18,2018,20.6612,8.5271,,,,,,,,,,,,14.0351,5600.0,,,,,,55.3571,9.0,6.0,66.667,1.0,7.0,90.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
