,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2009,31.405,19.3798,,14.927,0.581,,,25.675,,,,,,33.3333,11100.0,,,,,6.3629999999999995,57.1429,10.0,9.0,90.0,1.0,10.0,75.0,
10,2010,32.2314,19.3798,,14.216,0.568,,,25.021,,,,,,33.3333,10800.0,,,,,9.098,60.7143,10.0,9.0,90.0,1.0,8.0,75.0,
11,2011,32.2314,19.3798,,65.131,2.578,,,25.266,,,,,,33.3333,22700.0,,,,,9.38,60.7143,13.0,10.0,76.923,1.0,12.0,75.0,
12,2012,29.7521,14.7287,,,,,,,,,,,,33.3333,25700.0,,,,,13.428,60.7143,12.0,9.0,75.0,1.0,6.0,75.0,
13,2013,38.843,27.1318,,,,87.721,,,,,9.385,,,38.5965,28700.0,,,,,29.057,66.0714,11.0,9.0,81.818,1.0,14.0,75.0,
14,2014,43.3884,31.0078,,,,91.599,,,76.633,,8.277,,,49.1228,33200.0,,59.0,,,9.801,66.0714,12.0,10.0,83.333,1.0,6.0,75.0,
15,2015,42.1488,28.6822,,,,87.794,,,85.314,,10.07,,,49.1228,34100.0,,49.0,,,6.029,66.0714,12.0,10.0,83.333,1.0,6.0,75.0,
16,2016,39.6694,28.6822,,,,134.459,,,343.683,,12.24,,,43.8596,34200.0,,61.0,,,10.225,60.7143,10.0,9.0,90.0,1.0,7.0,75.0,
17,2017,37.1901,28.6822,,,,148.726,,,201.782,,11.145,,,33.3333,34500.0,,,,,17.627,60.7143,11.0,10.0,90.909,1.0,6.0,75.0,
18,2018,36.3636,27.1318,,,,140.482,,,183.392,,12.545,,,33.3333,36500.0,,,,,16.905,60.7143,12.0,11.0,91.667,1.0,6.0,75.0,
19,2019,43.3884,35.6589,,,,128.878,,610.779,181.235,,12.968,,,43.8596,35782.0,67.27,,,,14.192,60.7143,12.0,11.0,91.667,1.0,5.0,98.33,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
