,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,14.0496,,,,,,,,,,,,,8.7719,14751.0,,,,,,51.7857,11.0,9.0,81.818,1.0,7.0,75.0,
9,2009,14.876,1.5504,,,,,,,,,,,,8.7719,14673.0,,,,,,51.7857,11.0,9.0,81.818,1.0,8.0,75.0,
10,2010,17.3554,1.5504,,,,,,,,,,,,19.2982,13751.0,,,,,,51.7857,11.0,9.0,81.818,1.0,10.0,75.0,
11,2011,17.3554,1.5504,,,,,,,,,,,,19.2982,17500.0,,,,,,51.7857,11.0,9.0,81.818,1.0,9.0,75.0,
12,2012,17.3554,1.5504,,,,,,,,,,,,19.2982,20200.0,,,,,,51.7857,12.0,10.0,83.333,1.0,7.0,75.0,
13,2013,17.3554,1.5504,,,,,,,,,,,,19.2982,38600.0,,,,,,51.7857,10.0,9.0,90.0,1.0,6.0,75.0,
14,2014,19.0083,1.5504,,,,,,,,,,,,19.2982,24600.0,,,,,,58.9286,10.0,9.0,90.0,1.0,8.0,75.0,
15,2015,19.0083,1.5504,,,,,,,,,,,,19.2982,24500.0,,,,,,58.9286,10.0,9.0,90.0,1.0,13.0,75.0,
16,2016,19.0083,1.5504,,,,,,,,,,,,19.2982,28100.0,,,,,,58.9286,10.0,9.0,90.0,1.0,8.0,75.0,
17,2017,20.2479,1.5504,,,,,,,,,,,,24.5614,32800.0,,,,,,58.9286,9.0,8.0,88.889,1.0,9.0,75.0,
18,2018,21.4876,1.5504,,,,,,,,,,,,29.8246,39200.0,,,,,,58.9286,9.0,8.0,88.889,1.0,6.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
