,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,12.8631,,,,,,,,,,,,,3.125,1702.0,,,,,,51.7857,11.0,10.0,90.909,3.0,17.0,75.0,
8,2008,12.8631,,,,,,,,,,,,,3.125,1824.0,,,,,,51.7857,11.0,10.0,90.909,3.0,18.0,75.0,
9,2009,13.6929,1.6529,,,,,,,,,,,,3.125,1888.0,,,,,,51.7857,10.0,9.0,90.0,3.0,14.0,75.0,
10,2010,13.6929,1.6529,,,,,,,,,,,,3.125,2248.0,,,,,,51.7857,10.0,9.0,90.0,3.0,13.0,75.0,
11,2011,16.1826,1.6529,,,,,,,,,,,,12.5,3304.0,,,,,,51.7857,11.0,10.0,90.909,3.0,11.0,75.0,
12,2012,17.0124,1.6529,,,,,,,,,,,,15.625,3667.0,,,,,,51.7857,11.0,10.0,90.909,3.0,10.0,75.0,
13,2013,19.0871,4.1322,,,,,,,,,,,,15.625,4203.0,,,,,,55.3571,13.0,11.0,84.615,3.0,13.0,75.0,
14,2014,19.0871,4.1322,,,,,,,,,,,,15.625,4075.0,,,,,,55.3571,13.0,11.0,84.615,1.0,15.0,75.0,
15,2015,21.1618,8.2645,,,,,,,,,,,,15.625,3732.0,,,,,,55.3571,13.0,11.0,84.615,1.0,11.0,75.0,
16,2016,24.8963,13.2231,,,,2770.0,,,,,,,,20.3125,3604.0,,,,,,55.3571,13.0,11.0,84.615,1.0,9.0,75.0,
17,2017,32.7801,19.8347,,,,3440.0,,,,,,,,28.125,3827.0,,,,,2.075,66.0714,13.0,11.0,84.615,1.0,9.0,75.0,0.14
18,2018,36.5145,24.7934,,1050.0,,1670.0,,,,,,,,32.8125,3177.0,,,,,2.39,66.0714,13.0,11.0,84.615,1.0,10.0,75.0,0.0
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
