,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,20.2479,9.3023,,,,,,,,,,,,14.0351,11200.0,,,,,,51.7857,11.0,9.0,81.818,1.0,7.0,75.0,
7,2007,20.2479,9.3023,,,,,,,,,,,,14.0351,12800.0,,,,,,51.7857,10.0,8.0,80.0,1.0,9.0,75.0,
8,2008,39.2562,38.7597,,,,90.615,0.042,345.996,,0.054,3.047,,,22.807,15400.0,,,,,,57.1429,11.0,9.0,81.818,1.0,11.0,75.0,
9,2009,45.8678,48.8372,,,,92.135,0.029,398.29,496.669,0.048,3.128,0.0,0.0,28.0702,16100.0,,,,,,57.1429,12.0,10.0,83.333,1.0,7.0,75.0,
10,2010,46.6942,50.3876,,,,97.545,0.029,422.561,464.113,0.057,3.092,0.0,0.0,22.807,17500.0,,,,,,62.5,12.0,10.0,83.333,1.0,7.0,75.0,
11,2011,46.6942,50.3876,,,,113.892,0.032,475.582,500.076,0.092,3.851,0.0,0.0,22.807,21200.0,,,,,,62.5,13.0,11.0,84.615,1.0,9.0,75.0,
12,2012,47.9339,50.3876,,,,113.998,0.03,475.852,500.076,0.052,8.67,0.0,0.0,28.0702,26600.0,,,,,42.0,62.5,13.0,12.0,92.308,1.0,6.0,75.0,0.168
13,2013,47.1074,46.5116,,,,187.033,0.03,616.334,540.089,0.059,7.009,0.0,0.0,33.3333,31000.0,,,,,,62.5,12.0,11.0,91.667,1.0,8.0,75.0,0.119
14,2014,50.8264,46.5116,,,,182.604,0.018,619.237,687.311,0.058,7.154,0.0,0.0,49.1228,31300.0,20.3,16.8,,,,62.5,15.0,13.0,86.667,1.0,9.0,75.0,0.155
15,2015,50.4132,48.062,,,,230.637,0.008,717.953,681.405,0.067,5.691,0.0,0.0,43.8596,30600.0,19.1,16.9,,0.0,,62.5,15.0,13.0,86.667,1.0,10.0,75.0,0.198
16,2016,52.0661,51.1628,,,,230.693,0.008,343.817,635.978,0.117,12.319,0.0,0.0,43.8596,30500.0,18.7,16.6,,0.0,,62.5,11.0,9.0,81.818,1.0,9.0,75.0,0.037
17,2017,50.8264,51.1628,,,,209.456,0.008,716.805,624.621,0.084,14.618,0.0,0.0,43.8596,33800.0,18.8,17.1,,,,57.1429,11.0,9.0,81.818,1.0,10.0,75.0,
18,2018,48.3471,46.5116,,,,,0.008,693.155,609.479,0.119,3.741,0.0,0.0,43.8596,31100.0,19.0,16.8,,,,57.1429,12.0,11.0,91.667,1.0,22.0,74.66,
19,2019,,,,,,,,,,,,,,,37000.0,,,,,,,12.0,11.0,91.667,1.0,11.0,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
