,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,5068.0,,,,,,,11.0,9.0,81.818,3.0,5.0,75.0,
8,2008,25.2066,17.0543,,,,3817.911,79.305,,,,,,,17.5439,4400.0,,,,,,51.7857,11.0,9.0,81.82,3.0,5.0,75.0,
9,2009,,,,,,4108.56,60.329,,,,,,,,4900.0,,,,,,,11.0,9.0,81.818,3.0,5.0,75.0,
10,2010,25.2066,17.0543,,,,4327.349,64.872,,,,,,,17.5439,5200.0,,,,,,51.7857,11.0,9.0,81.82,3.0,4.0,75.0,
11,2011,26.4463,14.7287,,,,4290.87,,,,,,,,28.0702,61040.0,,,,,,51.7857,11.0,9.0,81.818,3.0,5.0,75.0,
12,2012,34.2975,27.1318,,,,4418.15,66.437,6481.6,,,,,,33.3333,61950.0,22.72,,,,,51.7857,12.0,10.0,83.333,3.0,6.0,75.0,
13,2013,36.7769,29.4574,,,,4347.74,65.279,6408.76,,,,,,33.3333,63900.0,22.66,,,,,57.1429,10.0,8.0,80.0,1.0,5.0,75.0,
14,2014,38.0165,29.4574,,,,4415.01,66.48,6545.15,,,,,,33.3333,64300.0,23.25,,,,,62.5,11.0,8.0,72.727,1.0,6.0,75.0,
15,2015,39.2562,30.2326,,,,4456.91,64.123,6511.65,,,,,,33.3333,66174.0,22.7,,,,,66.0714,12.0,10.0,83.333,1.0,7.0,75.0,
16,2016,39.6694,31.0078,,,,4475.54,63.277,6516.02,,,,,,33.3333,73343.0,23.2,,,,,66.0714,12.0,11.0,91.667,1.0,5.0,75.0,
17,2017,40.4959,32.5581,,,,4234.77,60.059,6093.16,,,,,,33.3333,65682.0,23.664,,,,,66.0714,12.0,11.0,91.667,1.0,5.0,75.0,
18,2018,40.4959,32.5581,,,,4382.88,61.601,6446.84,,,,,,33.3333,76708.0,22.96,,,,,66.0714,13.0,12.0,92.308,1.0,6.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
