,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,11.5702,,,,,,,,,,,,,3.5088,568.0,,,,,,46.4286,11.0,8.0,72.73,,4.0,75.0,
8,2008,13.6364,,,,,,,,,,,,,3.5088,511.0,,,,,,55.3571,10.0,7.0,70.0,1.0,6.0,75.0,
9,2009,,,,,,,,,,,,,,,380.0,,,,,,,11.0,7.0,63.636,2.0,10.0,75.0,
10,2010,13.6364,,,,,,,,,,,,,3.5088,392.0,,,,,,55.3571,11.0,7.0,63.64,1.0,6.0,75.0,
11,2011,,,,,,,,,,,,,,,369.0,,,,,,,12.0,8.0,66.667,1.0,6.0,75.0,
12,2012,,,,,,37.61,,98.51,4094.58,,,,,,368.0,,,,,,,11.0,9.0,81.818,1.0,6.0,75.0,
13,2013,,,,,,33.762,,79.465,4131.62,,,0.0,0.0,,363.0,,,,,1.054,,11.0,9.0,81.818,1.0,4.0,75.0,
14,2014,44.6281,42.6357,,,,32.847,,76.408,3980.78,0.0,279381.0,0.0,0.0,33.3333,370.0,,,2.0,,,60.7143,12.0,10.0,83.333,1.0,10.0,75.0,
15,2015,17.7686,1.5504,,,,,,,,,,,,17.5439,371.0,,,,,,55.3571,11.0,9.0,81.818,1.0,8.0,75.0,
16,2016,18.595,3.1008,,,,,,,,,,,,17.5439,371.0,,,,,,55.3571,9.0,8.0,88.889,1.0,16.0,75.0,
17,2017,42.562,31.7829,,,,32.281,,70.205,,,192.786,,,43.8596,443.0,60.0,,0.0,,1.7149999999999999,66.0714,11.0,10.0,90.909,1.0,6.0,75.0,
18,2018,43.3884,35.6589,,,,33.873,,89.063,1814.27,,198.378,,,38.5965,446.0,59.0,,4.0,,1.396,66.0714,11.0,9.0,81.818,1.0,5.0,75.0,
19,2019,,,,,,,,,,,,,,,450.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
