,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,14.0496,,,,,,,,,,,,,8.7719,919.0,,,,,,51.7857,10.0,7.0,70.0,3.0,6.0,75.0,
9,2009,14.0496,,,,,,,,,,,,,8.7719,1029.0,,,,,,51.7857,10.0,7.0,70.0,3.0,7.0,75.0,
10,2010,14.0496,,,,,,,,,,,,,8.7719,1395.0,,,,,,51.7857,11.0,8.0,72.73,3.0,6.0,75.0,
11,2011,14.0496,,,,,,,,,,,,,8.7719,1704.0,,,,,,51.7857,12.0,9.0,75.0,3.0,7.0,75.0,
12,2012,17.7686,6.9767,,,,,,,,,,,,8.7719,1950.0,,,,,,51.7857,12.0,9.0,75.0,3.0,8.0,75.0,
13,2013,20.2479,6.9767,,,,,,,,,,,,19.2982,2340.0,,,,,,51.7857,12.0,9.0,75.0,3.0,6.0,75.0,
14,2014,20.2479,6.9767,,,,,,,,,,,,19.2982,2925.0,,,,,,51.7857,12.0,9.0,75.0,3.0,7.0,75.0,
15,2015,26.0331,17.8295,,,,79.335,,,,,,,,19.2982,4300.0,,,,,,51.7857,10.0,7.0,70.0,3.0,7.0,75.0,
16,2016,29.7521,22.4806,,,,77.22,,,,,,,,19.2982,5400.0,,,,,,57.1429,12.0,9.0,75.0,3.0,9.0,95.91,
17,2017,38.843,28.6822,,,,81.7,,,,,,,,43.8596,6230.0,47.4,37.1,,,14.104,57.1429,13.0,10.0,76.923,3.0,6.0,75.0,
18,2018,45.0413,40.3101,,,,99.6,,,1570.0,1.061,10.871,,,43.8596,7383.0,48.0,37.0,,0.0,12.9,57.1429,12.0,10.0,83.333,3.0,6.0,97.14,
19,2019,,,,,,,,,,,,,,,8100.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
