,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,17.1053,1.7856999999999998,,,,,,,,,,,,8.3333,30000.0,,,,,14.75,57.1429,17.0,14.0,82.353,1.0,6.0,75.0,
8,2008,15.7895,1.7856999999999998,,,,,,,,,,,,3.3333,30000.0,,,,,,57.1429,14.0,11.0,78.571,1.0,6.0,75.0,
9,2009,14.473700000000001,1.7856999999999998,,,,,,,,,,,,3.3333,2850.0,,,,,,51.7857,12.0,11.0,91.67,1.0,17.0,75.0,
10,2010,15.3509,1.7856999999999998,,,,,,,,,,,,3.3333,27829.0,,,,,,55.3571,14.0,12.0,85.714,1.0,14.0,75.0,
11,2011,21.4912,4.4643,,,,,,,,,,,,16.6667,26813.0,,,,,,60.7143,16.0,14.0,87.5,1.0,15.0,75.0,
12,2012,22.807,7.1429,,,,,,,,,,,,16.6667,23427.0,,,,,,60.7143,16.0,14.0,87.5,1.0,14.0,75.0,
13,2013,26.7544,15.1786,,,,,,,,,,,,16.6667,24255.0,,,,,,60.7143,14.0,13.0,92.857,1.0,14.0,75.0,
14,2014,21.4912,7.1429,,,,,,,,,,,,16.6667,23723.0,,,,,,55.3571,13.0,12.0,92.308,1.0,12.0,75.0,
15,2015,34.6491,28.5714,,,,136.039,,255.711,,,,,,21.6667,23916.0,,,,,3.5,60.7143,12.0,11.0,91.667,1.0,9.0,75.0,
16,2016,34.6491,28.5714,,,,121.145,,245.129,,,,,,21.6667,22166.0,,,,,10.4,60.7143,13.0,12.0,92.308,1.0,10.0,75.0,
17,2017,38.5965,33.9286,,,,111.07,,224.724,,,,0.0,0.0,26.6667,22283.0,,,,,11.4,60.7143,14.0,13.0,92.857,1.0,8.0,75.0,
18,2018,45.614,38.3929,,,,109.143,,225.454,,,,0.0,0.0,45.0,19969.0,66.0,,,,11.2,60.7143,15.0,13.0,86.667,1.0,7.0,75.0,
19,2019,,,,,,,,,,,,,,,19564.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
