,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,13.5965,,,,,,,,,,,,,3.3333,6900.0,,,,,,51.7857,10.0,6.0,60.0,1.0,6.0,75.0,
9,2009,13.5965,,,,,,,,,,,,,3.3333,7100.0,,,,,,51.7857,10.0,6.0,60.0,1.0,9.0,75.0,
10,2010,13.5965,,,,,,,,,,,,,3.3333,7200.0,,,,,,51.7857,11.0,6.0,54.55,1.0,5.0,75.0,
11,2011,13.5965,,,,,,,,,,,,,3.3333,7600.0,,,,,,51.7857,10.0,6.0,60.0,1.0,4.0,75.0,
12,2012,13.5965,,,,,,,,,,,,,3.3333,10400.0,,,,,,51.7857,10.0,6.0,60.0,1.0,7.0,75.0,
13,2013,16.2281,2.6786,,,,,,,,,,,,8.3333,10150.0,,,,,,51.7857,10.0,6.0,60.0,1.0,4.0,75.0,
14,2014,16.2281,2.6786,,,,,,,,,,,,8.3333,10300.0,,,,,,51.7857,11.0,8.0,72.73,1.0,4.0,75.0,
15,2015,14.9123,2.6786,,,,,,,,,,,,3.3333,11000.0,,,,,,51.7857,11.0,8.0,72.727,1.0,4.0,75.0,
16,2016,16.2281,2.6786,,,,,,,,,,,,8.3333,11900.0,,,,,,51.7857,11.0,8.0,72.727,1.0,4.0,75.0,
17,2017,16.2281,2.6786,,,,,,,,,,,,8.3333,12700.0,,,,,,51.7857,11.0,8.0,72.727,1.0,6.0,75.0,
18,2018,16.2281,2.6786,,,,,,,,,,,,8.3333,13900.0,,,,,,51.7857,12.0,9.0,75.0,1.0,6.0,75.0,
19,2019,16.2281,2.6786,,,,,,,,,,,,8.3333,14200.0,,,,,,51.7857,13.0,10.0,76.923,1.0,4.0,100.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
