,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,12.8099,,,,,,,,,,,,,8.7719,2700.0,,,,,0.8,46.4286,8.0,7.0,87.5,,5.0,100.0,
8,2008,12.8099,,,,,,,,,,,,,8.7719,2700.0,,,,,2.0,46.4286,8.0,7.0,87.5,,5.0,93.33,
9,2009,12.8099,,,,,,,,,,,,,8.7719,2900.0,,,,,3.5,46.4286,8.0,6.0,75.0,,4.0,100.0,
10,2010,15.2893,,,,,,,,,,,,,14.0351,3200.0,,,,,3.0,51.7857,8.0,6.0,75.0,3.0,5.0,100.0,
11,2011,34.2975,17.8295,,,,,0.0,,,,,0.0,0.0,43.8596,3450.0,,17.0,,0.0,1.0,62.5,7.0,6.0,85.714,3.0,5.0,75.0,
12,2012,42.562,33.3333,,,,21.201,0.0,36.786,,,2.061,0.0,0.0,43.8596,3700.0,,18.0,,0.0,0.142,62.5,7.0,6.0,85.714,3.0,4.0,100.0,
13,2013,45.0413,33.3333,,,,20.978,0.0,36.231,,,2.098,0.0,0.0,54.386,3900.0,47.17,18.0,,0.0,0.283,62.5,8.0,6.0,75.0,3.0,4.0,100.0,
14,2014,43.8017,33.3333,,,,20.325,0.0,36.592,,,2.159,0.0,0.0,54.386,4100.0,47.561,21.0,,0.0,0.228,57.1429,8.0,6.0,75.0,3.0,6.0,100.0,
15,2015,43.8017,33.3333,,,,20.986,0.0,36.199,,,2.149,0.0,0.0,54.386,4340.0,47.35,29.0,,0.0,0.17,57.1429,8.0,6.0,75.0,3.0,4.0,100.0,
16,2016,41.3223,33.3333,,,,21.118,0.0,35.775,,,2.151,0.0,0.0,43.8596,5250.0,,29.0,,0.0,0.229,57.1429,8.0,6.0,75.0,3.0,7.0,75.0,
17,2017,41.3223,33.3333,,,,22.29,0.0,36.108,,,2.317,0.0,0.0,43.8596,6080.0,,30.0,,0.0,0.235,57.1429,8.0,6.0,75.0,3.0,5.0,75.0,
18,2018,23.5537,11.6279,,,,,,,,,,,,22.807,5940.0,,,,,,51.7857,8.0,6.0,75.0,3.0,5.0,75.0,
19,2019,,,,,,,,,,,,,,,7240.0,,,,,,,9.0,7.0,77.778,3.0,7.0,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
