,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,23.9669,18.6047,10.6,,,114.709,,31.561,,,,,,8.7719,18586.0,,,,,5.5,51.7857,10.0,8.0,80.0,3.0,9.0,86.0,
7,2007,36.3636,33.3333,10.0,,,90.815,,37.384,,,15.0,,,28.0702,20053.0,,,,,6.5,51.7857,9.0,8.0,88.889,3.0,9.0,75.0,
8,2008,36.3636,33.3333,10.5,,,96.15,,53.224,,,16.0,,,28.0702,21660.0,,,,,6.3,51.7857,9.0,8.0,88.889,3.0,7.0,75.0,
9,2009,34.2975,25.5814,,,,94.0,,50.762,,,11.0,,,31.5789,11800.0,,,,,5.9,57.1429,9.0,8.0,88.889,3.0,7.0,100.0,
10,2010,39.6694,33.3333,,,,102.96,,,755.0,,16.0,,,36.8421,19000.0,,,,,6.4,57.1429,9.0,8.0,88.889,3.0,7.0,98.0,
11,2011,37.1901,31.0078,,,,139.0,,,344.488,,13.0,,,36.8421,21000.0,,,,,7.1,51.7857,9.0,8.0,88.89,3.0,7.0,100.0,
12,2012,37.1901,31.0078,,,,128.0,,,408.843,,15.0,,,36.8421,22000.0,,,,,7.5,51.7857,9.0,8.0,88.889,3.0,7.0,97.0,
13,2013,42.1488,31.0078,,,,144.0,,,370.987,,11.0,,,57.8947,22000.0,29.5,24.4,,,7.9,51.7857,10.0,9.0,90.0,3.0,7.0,99.0,
14,2014,39.6694,28.6822,,,,136.6,,,340.703,,13.0,,,52.6316,22500.0,31.0,25.0,,,7.6,51.7857,10.0,9.0,90.0,3.0,7.0,100.0,
15,2015,40.0826,28.6822,,,,137.3,,,333.131,,14.0,,,54.386,22500.0,31.0,25.0,,,8.0,51.7857,11.0,10.0,90.909,3.0,6.0,99.4,
16,2016,37.6033,31.0078,,,,127.2,,,325.56,,17.0,,,38.5965,22000.0,31.0,,,,8.3,51.7857,11.0,9.0,81.818,3.0,6.0,98.72,
17,2017,38.4298,31.0078,,,,128.9,,,317.989,,10.523,,,38.5965,22000.0,31.0,,,,11.0,55.3571,12.0,10.0,83.333,3.0,7.0,99.0,
18,2018,35.9504,31.0078,,,,125.6,,,321.775,,11.0,,,33.3333,23000.0,31.0,,,,10.0,50.0,12.0,10.0,83.333,3.0,9.0,,
19,2019,,,,,,,,,,,,,,,23000.0,,,,,,,10.0,9.0,90.0,3.0,7.0,97.6,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
