,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,14.0496,,,,,,,,,,,,,8.7719,6000.0,,,,,,51.7857,11.0,9.0,81.82,3.0,5.0,75.0,
6,2006,14.0496,,,,,,,,,,,,,8.7719,6900.0,,,,,,51.7857,9.0,7.0,77.78,3.0,6.0,75.0,
7,2007,14.0496,,,,,,,,,,,,,8.7719,7100.0,,,,,,51.7857,9.0,7.0,77.78,3.0,5.0,75.0,
8,2008,14.0496,,,,,,,,,,,,,8.7719,7900.0,,,,,,51.7857,9.0,8.0,88.89,3.0,7.0,75.0,
9,2009,14.0496,,,,,,,,,,,,,8.7719,7650.0,,,,,,51.7857,8.0,7.0,87.5,3.0,6.0,75.0,
10,2010,14.0496,,,,,,,,,,,,,8.7719,8050.0,,,,,,51.7857,8.0,7.0,87.5,3.0,6.0,75.0,
11,2011,14.0496,,,,,,,,,,,,,8.7719,8570.0,,,,,,51.7857,8.0,7.0,87.5,3.0,5.0,75.0,
12,2012,20.2479,6.9767,,,,,,,,,,,,19.2982,9475.0,,,,,,51.7857,8.0,7.0,87.5,3.0,7.0,75.0,
13,2013,20.2479,6.9767,,,,,,,,,,,,19.2982,9913.0,,,,,,51.7857,8.0,7.0,87.5,1.0,5.0,75.0,
14,2014,20.2479,6.9767,,,,,,,,,,,,19.2982,10137.0,,,,,,51.7857,8.0,7.0,87.5,1.0,6.0,98.37,
15,2015,20.2479,6.9767,,,,,,,,,,,,19.2982,10806.0,,,,,,51.7857,9.0,8.0,88.889,1.0,6.0,99.33,
16,2016,21.4876,9.3023,,,,,,,,,,,,19.2982,14155.0,,,,,,51.7857,9.0,8.0,88.889,1.0,6.0,100.0,
17,2017,22.314,9.3023,,,,,,,,,,,,19.2982,14236.0,,,,,,55.3571,9.0,8.0,88.889,1.0,5.0,100.0,
18,2018,22.314,9.3023,,,,,,,,,,,,19.2982,15611.0,,,,,,55.3571,10.0,9.0,90.0,1.0,7.0,100.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
