,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,12.9187,,,,,,,,,,,,,,,,,,,,48.2143,8.0,5.0,62.5,3.0,6.0,75.0,
8,2008,15.311,,,,,,,,,,,,,8.7719,39100.0,,,,,,48.2143,9.0,6.0,66.667,3.0,5.0,75.0,
9,2009,16.2679,,,,,,,,,,,,,8.7719,40000.0,,,,,,51.7857,7.0,5.0,71.429,3.0,5.0,75.0,
10,2010,16.2679,,,,,,,,,,,,,8.7719,45600.0,,,,,,51.7857,8.0,6.0,75.0,3.0,5.0,75.0,
11,2011,15.311,,,,,,,,,,,,,8.7719,49500.0,,,,,,48.2143,8.0,6.0,75.0,3.0,5.0,75.0,
12,2012,22.9665,6.25,,,,,,,,,,,,22.807,53900.0,,,,,,51.7857,8.0,6.0,75.0,1.0,5.0,75.0,
13,2013,24.4019,9.375,,,,,,,,,,,,22.807,57500.0,,,,,,51.7857,8.0,6.0,75.0,1.0,5.0,75.0,
14,2014,30.1435,12.5,,,,,,,,,,,,38.5965,66300.0,77.0,,,,,51.7857,8.0,6.0,75.0,1.0,5.0,75.0,
15,2015,28.7081,12.5,,,,,,,,,,,,33.3333,71400.0,77.0,,,,,51.7857,11.0,7.0,63.636,1.0,7.0,75.0,
16,2016,20.5742,3.125,,,,,,,,,,,,19.2982,77800.0,,,,,,51.7857,11.0,7.0,63.636,1.0,5.0,75.0,
17,2017,24.4019,3.125,,,,,,,,,,,,33.3333,78600.0,77.0,,,,,51.7857,11.0,7.0,63.636,1.0,5.0,75.0,
18,2018,20.5742,3.125,,,,,,,,,,,,19.2982,82700.0,,,,,,51.7857,11.0,7.0,63.636,1.0,5.0,75.0,
19,2019,20.5742,3.125,,,,,,,,,,,,19.2982,88100.0,,,,,,51.7857,11.0,7.0,63.636,1.0,6.0,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
