,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,14.0496,,,,,,,,,,,,,8.7719,13000.0,,,,,,51.7857,7.0,5.0,71.43,1.0,10.0,75.0,
8,2008,15.2893,2.3256,,,,,,,,,,,,8.7719,35000.0,,,,,,51.7857,11.0,10.0,90.91,1.0,25.0,75.0,
9,2009,16.1157,3.876,,,,,,,,,,,,8.7719,31000.0,,,,,,51.7857,12.0,11.0,91.67,1.0,10.0,75.0,
10,2010,14.876,1.5504,,,,,,,,,,,,8.7719,30000.0,,,,,,51.7857,13.0,11.0,84.615,1.0,9.0,75.0,
11,2011,14.876,1.5504,,,,,,,,,,,,8.7719,30000.0,,,,,,51.7857,11.0,10.0,90.909,1.0,6.0,75.0,
12,2012,14.876,1.5504,,,,,,,,,,,,8.7719,30000.0,,,,,,51.7857,10.0,9.0,90.0,1.0,7.0,75.0,
13,2013,25.2066,12.4031,,,,,,,,,,,,28.0702,31000.0,,,,,3.0,51.7857,12.0,11.0,91.667,1.0,5.0,75.0,
14,2014,32.6446,21.7054,,,,15385.6,,,,,,,,38.5965,31000.0,,,,,2.3,51.7857,11.0,10.0,90.909,1.0,6.0,75.0,
15,2015,32.6446,21.7054,,,,15230.0,,,,,,,,38.5965,33000.0,,,,,6.7,51.7857,10.0,9.0,90.0,1.0,6.0,75.0,
16,2016,33.8843,22.4806,,,,14243.9,,,,,,,,38.5965,33000.0,,,,,8.4,55.3571,13.0,12.0,92.308,1.0,5.0,75.0,
17,2017,40.9091,28.6822,,,,13747.3,,7288.46,,,,,,43.8596,35524.0,18.0,,,6.0,7.084,66.0714,11.0,10.0,90.909,1.0,5.0,75.0,0.892
18,2018,42.1488,33.3333,,,,13500.6,1.4,7608.3,,,,,,38.5965,36176.0,19.0,,,2.0,5.787,66.0714,12.0,11.0,91.667,1.0,6.0,75.0,0.945
19,2019,,,,,,,,,,,,,,,36000.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
