,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,30.1653,23.2558,,,,662.0,,1407.97,,1.2,20.75,1.0,0.012,24.5614,72000.0,,,,,,51.7857,9.0,8.0,88.889,1.0,9.0,75.0,
8,2008,29.7521,22.4806,,,,623.0,,1382.98,,0.99,20.15,6.0,0.008,24.5614,73000.0,,,,,,51.7857,8.0,7.0,87.5,1.0,8.0,75.0,
9,2009,33.0579,24.8062,,,,605.0,,1339.76,,0.872,20.872,2.0,0.002,24.5614,75000.0,,,,,,60.7143,9.0,8.0,88.889,1.0,10.0,75.0,0.054
10,2010,35.124,27.1318,,,,596.0,,1332.7,,0.879,20.325,1.0,0.0,24.5614,72000.0,,,,,,64.2857,9.0,8.0,88.889,1.0,10.0,97.0,0.029
11,2011,32.6446,24.8062,,,,522.0,,1262.73,,,,1.0,0.012,24.5614,71000.0,,,,,,58.9286,9.0,8.0,88.889,1.0,7.0,75.0,
12,2012,35.9504,31.0078,,,,490.0,,1228.92,,0.678,18.951,1.0,0.0,24.5614,67800.0,,,,,,58.9286,10.0,9.0,90.0,1.0,8.0,97.0,
13,2013,35.9504,31.0078,,,,482.0,,1221.57,,0.678,16.752,2.0,0.0,24.5614,63000.0,,,,,,58.9286,9.0,8.0,88.889,1.0,8.0,97.0,
14,2014,36.3636,29.4574,,,,459.0,,1179.82,1904.15,0.661,15.302,5.0,0.0,29.8246,61000.0,,,,,,58.9286,10.0,9.0,90.0,1.0,11.0,98.0,
15,2015,32.6446,20.155,,,,452.0,,1130.14,1839.79,,,,,35.0877,61000.0,26.0,,,,,58.9286,11.0,10.0,90.909,1.0,9.0,95.4,
16,2016,33.0579,21.7054,,,,433.0,,1096.33,1904.15,,,,,33.3333,63000.0,26.0,,,,,58.9286,10.0,9.0,90.0,1.0,6.0,96.9,
17,2017,34.7107,24.8062,,,,,,1077.22,1953.36,,18.987,,,33.3333,64000.0,26.0,,,,,58.9286,11.0,10.0,90.909,1.0,6.0,99.5,
18,2018,32.6446,20.9302,,,,,,0.0,1824.65,,,,,33.3333,67000.0,26.0,,,,,58.9286,14.0,13.0,92.857,1.0,7.0,75.0,
19,2019,,,,,,,,,,,,,,,70000.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
