,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,32.0574,13.5417,,,,,,,,,,,,33.3333,115000.0,,,,,30.3,62.5,12.0,9.0,75.0,3.0,5.0,75.0,
6,2006,30.622,12.5,,,,,,,,,,,,29.8246,145800.0,,,,,36.1,62.5,11.0,8.0,72.727,1.0,6.0,75.0,
7,2007,32.5359,13.5417,,,,,,,,,,,,29.8246,115000.0,,,,,18.0,67.8571,10.0,8.0,80.0,1.0,6.0,75.0,
8,2008,25.3589,18.75,,,,,,,,,,,,8.7719,176000.0,,,,,,53.5714,9.0,8.0,88.889,1.0,10.0,75.0,
9,2009,26.7943,18.75,,,,,,,,,,,,14.0351,142000.0,,,,,17.0,53.5714,11.0,9.0,81.818,1.0,10.0,75.0,
10,2010,34.9282,21.875,,,,,,,,,,,,29.8246,137000.0,,,,,22.4,62.5,11.0,10.0,90.909,1.0,11.0,75.0,
11,2011,38.756,25.0,,,,,,,,,,0.0,0.0,29.8246,149000.0,,,,,17.95,71.4286,12.0,11.0,91.667,1.0,7.0,75.0,
12,2012,42.1053,32.2917,239.42,1032.0,,,,,,,,0.0,0.0,29.8246,160000.0,,,,,46.5,71.4286,12.0,11.0,91.667,1.0,9.0,75.0,
13,2013,43.0622,37.5,253.8,1084.7,,,,,,,,0.0,0.0,29.8246,182000.0,,,,,47.6,66.0714,12.0,11.0,91.667,1.0,9.0,75.0,
14,2014,45.933,46.875,288.7,1258.0,0.526,,,2393.65,13102.0,,,0.0,0.0,29.8246,191000.0,,,,,50.2,60.7143,12.0,11.0,91.667,1.0,8.0,75.0,
15,2015,36.3636,29.1667,328.893,1342.42,,,,,,,,,,24.5614,238000.0,,,,,,60.7143,12.0,10.0,83.333,1.0,7.0,75.0,
16,2016,30.622,16.6667,,,,,,,,,,,,24.5614,254000.0,,,,,,60.7143,12.0,10.0,83.333,1.0,7.0,75.0,
17,2017,38.2775,31.25,,,,681.0,,,,,,,,28.0702,277000.0,,,,,,60.7143,14.0,11.0,78.571,1.0,8.0,75.0,
18,2018,35.4067,21.875,,,,,,,,,,,,28.0702,291000.0,,,,,,66.0714,10.0,8.0,80.0,1.0,9.0,75.0,0.0
19,2019,,,,,,,,,,,,,,,346000.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
