,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,21.4876,13.9535,,,,565.057,,1273.61,,,,,,8.7719,31572.0,,,,,1.921,51.7857,11.0,10.0,90.909,1.0,7.0,75.0,
8,2008,28.9256,23.2558,,,,531.352,,1558.36,,,,,,19.2982,30677.0,,,,,2.022,51.7857,11.0,10.0,90.909,1.0,6.0,75.0,
9,2009,30.5785,26.3566,,,,517.272,,1456.3,,,,,,19.2982,32591.0,,,,,2.137,51.7857,11.0,10.0,90.909,1.0,5.0,75.0,
10,2010,32.2314,27.1318,,,,520.833,,1432.758,,,,,,19.2982,32228.0,,,,,2.336,57.1429,11.0,10.0,90.91,1.0,5.0,75.0,0.0
11,2011,32.2314,27.1318,,,,524.358,,1506.561,,,,,,19.2982,32988.0,,,,,2.299,57.1429,10.0,9.0,90.0,1.0,5.0,75.0,0.0
12,2012,32.2314,27.1318,,,,522.731,,1499.36,,,,,,19.2982,38918.0,,,,,2.387,57.1429,9.0,8.0,88.889,1.0,6.0,75.0,0.0
13,2013,39.2562,34.1085,,,,536.564,,1570.3,,,,,,28.0702,43120.0,,,,,2.667,62.5,8.0,7.0,87.5,1.0,7.0,75.0,0.0
14,2014,40.4959,34.1085,,,,585.445,,1739.36,,,,,,33.3333,45821.0,23.0,,,,3.392,62.5,10.0,9.0,90.0,1.0,4.0,75.0,0.0
15,2015,38.843,34.1085,,,,586.324,,1723.14,,,,,,28.0702,46991.0,,,,,3.005,60.7143,12.0,10.0,83.333,1.0,6.0,75.0,0.0
16,2016,40.0826,34.1085,,,,569.582,,1611.97,,,,,,28.0702,42550.0,,,,,5.462,66.0714,11.0,9.0,81.818,1.0,11.0,75.0,0.0
17,2017,40.0826,34.1085,,,,837.382,,2584.19,,,,,,28.0702,59257.0,,,,,4.616,66.0714,10.0,9.0,90.0,1.0,7.0,75.0,0.0
18,2018,45.8678,42.6357,,804.453,0.293,805.843,,2746.28,,,,,,38.5965,53368.0,24.2,,,,5.797,60.7143,10.0,9.0,90.0,1.0,5.0,75.0,
19,2019,,,,,,,,,,,,,,,61111.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
