,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,11.8421,,,,,,,,,,,,,,,,,,,,48.2143,11.0,10.0,90.91,1.0,9.0,75.0,
8,2008,11.8421,,,,,,,,,,,,,,,,,,,,48.2143,12.0,11.0,91.67,1.0,11.0,75.0,
9,2009,11.8421,,,,,,,,,,,,,,,,,,,,48.2143,12.0,11.0,91.67,1.0,11.0,75.0,
10,2010,11.8421,,,,,,,,,,,,,,,,,,,,48.2143,12.0,10.0,83.333,1.0,10.0,75.0,
11,2011,11.8421,,,,,,,,,,,,,,,,,,,,48.2143,12.0,11.0,91.67,1.0,8.0,75.0,
12,2012,11.8421,,,,,,,,,,,,,,,,,,,,48.2143,12.0,11.0,91.67,1.0,9.0,75.0,
13,2013,11.8421,,,,,,,,,,,,,,,,,,,,48.2143,11.0,10.0,90.91,1.0,8.0,75.0,
14,2014,11.8421,,,,,,,,,,,,,,,,,,,,48.2143,11.0,10.0,90.91,1.0,10.0,75.0,
15,2015,12.7193,,,,,,,,,,,,,3.3333,2089.0,,,,,,48.2143,12.0,11.0,91.667,1.0,8.0,75.0,
16,2016,12.7193,,,,,,,,,,,,,3.3333,2311.0,,,,,,48.2143,11.0,10.0,90.909,1.0,9.0,75.0,
17,2017,17.5439,5.3571,,,,,,,,,,,,8.3333,2438.0,,,,,,51.7857,12.0,11.0,91.667,1.0,8.0,75.0,
18,2018,21.4912,5.3571,,,,,,,,,,,,23.3333,2900.0,48.75,32.81,,,,51.7857,11.0,10.0,90.909,1.0,10.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
