,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,22.314,11.6279,,,,1100.0,,4444.44,2400.0,,,,,17.5439,60000.0,,,,,,51.7857,12.0,11.0,91.667,1.0,5.0,75.0,
6,2006,22.314,11.6279,,,,1200.0,,5277.78,2700.0,,,,,17.5439,70000.0,,,,,,51.7857,12.0,11.0,91.667,1.0,5.0,75.0,
7,2007,27.2727,18.6047,,,,1400.0,,5555.56,3100.0,,,,,22.807,80000.0,,,,,4.6,51.7857,12.0,11.0,91.667,1.0,5.0,75.0,
8,2008,27.2727,20.9302,,,,1500.0,,6111.11,3000.0,,110.0,,,17.5439,87000.0,,,,,,51.7857,11.0,10.0,90.909,1.0,6.0,83.0,
9,2009,33.0579,27.907,,,,1890.0,,5277.78,3000.0,,110.0,,,26.3158,77000.0,,,,2.0,,51.7857,10.0,9.0,90.0,1.0,6.0,75.0,
10,2010,41.7355,31.7829,,,,1940.0,,4166.67,3200.0,,58.0,,,50.8772,108000.0,15.0,9.0,,3.0,4.524,55.3571,12.0,11.0,91.667,1.0,8.0,88.0,
11,2011,35.9504,29.4574,,,,2370.0,,5500.0,3200.0,,360.0,,,26.3158,113000.0,,,,8.0,,60.7143,14.0,12.0,85.714,1.0,7.0,98.64,
12,2012,41.7355,34.1085,2199.87,,,2750.0,,5500.0,3300.0,,410.0,,,36.8421,118000.0,,,,3.0,,64.2857,12.0,11.0,91.667,1.0,6.0,75.0,
13,2013,45.8678,37.2093,,,,2220.0,,9820.0,3000.0,,400.0,,,52.6316,123000.0,16.0,10.0,,3.0,18.0,58.9286,11.0,10.0,90.909,1.0,6.0,83.72,
14,2014,61.9835,54.2636,,,,2847.0,,9450.0,3420.0,,410.0,,,77.193,120000.0,15.8,17.5,,4.0,18.0,64.2857,11.0,10.0,90.909,1.0,4.0,100.0,
15,2015,68.595,60.4651,,,,1977.0,,6275.0,3185.0,,450.0,,,85.9649,95000.0,16.2,10.3,492.0,1.0,15.7,69.6429,10.0,9.0,90.0,1.0,5.0,100.0,
16,2016,57.8512,52.7132,,,,1840.0,,5506.0,3595.0,,488.0,,,57.8947,100000.0,16.4,9.2,346.0,5.0,10.0,69.6429,11.0,10.0,90.909,1.0,4.0,100.0,
17,2017,57.0248,51.1628,,,,1919.0,,6644.0,3956.0,,539.0,,,57.8947,100000.0,16.0,12.0,467.0,1.0,9.27,69.6429,12.0,10.0,83.333,1.0,5.0,75.0,
18,2018,55.7851,48.8372,,,,2065.0,,6814.0,5034.0,,503.0,,,57.8947,100000.0,16.3,13.3,564.0,1.0,9.0,69.6429,12.0,9.0,75.0,1.0,5.0,75.0,
19,2019,,,,,,,,,,,,,,,105000.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
