,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,12.8099,,,,,,,,,,,,,3.5088,1059.0,,,,,,51.7857,5.0,3.0,60.0,3.0,17.0,75.0,
8,2008,12.8099,,,,,,,,,,,,,3.5088,1045.0,,,,,,51.7857,5.0,3.0,60.0,3.0,10.0,75.0,
9,2009,12.8099,,,,,,,,,,,,,3.5088,961.0,,,,,,51.7857,5.0,3.0,60.0,3.0,8.0,100.0,
10,2010,12.8099,,,,,,,,,,,,,3.5088,1027.0,,,,,,51.7857,5.0,3.0,60.0,3.0,6.0,100.0,
11,2011,13.6364,1.5504,,,,,,,,,,,,3.5088,1047.0,,,,,,51.7857,6.0,4.0,66.67,3.0,6.0,100.0,
12,2012,32.6446,30.2326,,,,129.257,,500.284,107.393,0.022,11.133,,,8.7719,1092.0,,,,,,62.5,6.0,4.0,66.667,3.0,5.0,100.0,
13,2013,35.9504,31.7829,,,,148.746,,491.921,1963.98,0.045,9.281,,,19.2982,1076.0,,,,,,62.5,6.0,4.0,66.667,3.0,4.0,75.0,
14,2014,34.7107,31.7829,,,,117.104,,623.617,1756.1,0.022,9.669,,,19.2982,1060.0,,,,,,57.1429,7.0,4.0,57.143,3.0,5.0,75.0,
15,2015,37.6033,37.2093,,,,181.189,,489.666,1515.58,0.022,11.593,,,19.2982,1128.0,38.65,,,,,57.1429,8.0,5.0,62.5,3.0,4.0,75.0,
16,2016,38.0165,40.3101,,,,113.299,,448.64,1875.59,1.5190000000000001,12.928,,,14.0351,1075.0,,,,,,57.1429,9.0,6.0,66.667,3.0,6.0,75.0,
17,2017,49.1736,50.3876,,,,97.97,,383.496,1621.91,0.045,9.727,0.0,0.0,38.5965,1065.0,36.99,,,,,57.1429,9.0,6.0,66.667,3.0,4.0,75.0,
18,2018,50.8264,53.4884,6.825,,,104.669,,411.877,1673.73,0.087,11.499,,,38.5965,1065.0,37.19,,,0.0,,57.1429,9.0,6.0,66.667,3.0,5.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
