,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,14.0496,,,,,,,,,,,,,8.7719,11600.0,,,,,,51.7857,11.0,9.0,81.818,3.0,7.0,75.0,
8,2008,16.1157,2.3256,,,,,,,,,,,,8.7719,11500.0,,,,,,55.3571,12.0,10.0,83.333,3.0,8.0,75.0,
9,2009,16.1157,2.3256,,,,,,,,,,,,8.7719,11000.0,,,,,,55.3571,11.0,10.0,90.909,3.0,8.0,75.0,
10,2010,19.8347,4.6512,,,,,,,,,,,,19.2982,11300.0,,,,,,55.3571,12.0,11.0,91.667,3.0,8.0,75.0,
11,2011,19.8347,4.6512,,,,,,,,,,,,19.2982,11500.0,,,,,,55.3571,12.0,11.0,91.67,3.0,9.0,75.0,
12,2012,19.0083,4.6512,,,,,,,,,,,,19.2982,11200.0,,,,,,51.7857,10.0,9.0,90.0,3.0,8.0,75.0,
13,2013,23.5537,11.6279,,,,,,,,,,,,19.2982,11300.0,,,,,,55.3571,9.0,8.0,88.889,3.0,8.0,75.0,
14,2014,23.5537,11.6279,,,,,,,,,,,,19.2982,11400.0,,,,,,55.3571,9.0,8.0,88.889,1.0,8.0,75.0,
15,2015,23.5537,11.6279,,,,,,,,,,,,19.2982,11500.0,,,,,,55.3571,10.0,9.0,90.0,1.0,8.0,75.0,
16,2016,23.5537,11.6279,,,,,,,,,,,,19.2982,12100.0,,,,,,55.3571,10.0,9.0,90.0,1.0,8.0,75.0,
17,2017,24.3802,11.6279,,,,,,,,,,,,19.2982,12600.0,,,,,,58.9286,10.0,9.0,90.0,1.0,8.0,75.0,
18,2018,24.3802,11.6279,,,,,,,,,,,,19.2982,12600.0,,,,,,58.9286,10.0,9.0,90.0,1.0,8.0,75.0,
19,2019,,,,,,,,,,,,,,,12800.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
