,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,28.6792,20.6897,,151000.0,,,199.091,,,0.052,,,,26.5625,25554.0,24.2,16.9,,,6.417,51.7857,10.0,9.0,90.0,1.0,8.0,94.0,
6,2006,24.1509,13.7931,,160000.0,,,197.273,,,0.034,,,,26.5625,26091.0,24.2,17.5,,,7.33,48.2143,10.0,9.0,90.0,1.0,13.0,97.0,
7,2007,30.9434,19.3103,,166000.0,,,191.818,,,0.026,,,,39.0625,26742.0,24.6,18.1,,,9.614,51.7857,12.0,11.0,91.667,1.0,7.0,97.0,
8,2008,35.4717,26.8966,,155000.0,,,180.0,,,0.087,,,,43.75,27276.0,24.6,18.5,,,7.342,48.2143,12.0,11.0,91.667,1.0,8.0,98.0,
9,2009,36.9811,24.8276,,134000.0,,,93.636,,,,,,,48.4375,26112.0,24.8,18.6,,,6.517,55.3571,12.0,11.0,91.667,1.0,7.0,95.0,
10,2010,32.8302,18.6207,,145000.0,,,103.636,,,,,,,45.3125,25940.0,24.9,19.0,,,6.57,55.3571,13.0,12.0,92.308,1.0,8.0,92.0,
11,2011,30.9434,26.2069,,,,121000.0,96.364,,,0.055,,,,20.3125,26377.0,,,,,,55.3571,13.0,12.0,92.308,1.0,7.0,97.0,
12,2012,33.2075,30.3448,,,,99000.0,63.503,,,0.032,,,,20.3125,26439.0,,,,,,55.3571,13.0,12.0,92.308,1.0,7.0,99.0,
13,2013,36.2264,29.6552,,,,102000.0,65.454,,,,,,,25.0,26300.0,,,,,,66.0714,13.0,12.0,92.308,1.0,9.0,97.0,12.85
14,2014,29.0566,24.1379,,,,112000.0,73.636,,,,,,,17.1875,26369.0,,,,,,55.3571,14.0,13.0,92.857,1.0,7.0,98.0,
15,2015,31.3208,26.2069,,,,102000.0,57.169,,,0.208,,,,17.1875,26703.0,,,,,,60.7143,15.0,14.0,93.333,1.0,9.0,95.0,
16,2016,36.6038,27.5862,,,,100000.0,41.263,,,0.189,,,,35.9375,32020.0,26.0,,,,,60.7143,15.0,14.0,93.333,1.0,7.0,96.0,
17,2017,38.1132,28.9655,,,,97000.0,38.669,,,0.36,,,,39.0625,31344.0,26.0,,,,,60.7143,15.0,14.0,93.333,1.0,11.0,94.0,
18,2018,38.1132,28.9655,,,,102000.0,41.8,,,0.228,,,,39.0625,29192.0,25.0,,,,,60.7143,14.0,13.0,92.857,1.0,14.0,94.0,
19,2019,,,,,,,,,,,,,,,27943.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
