,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,15.2893,6.9767,,,,574.976,,,,,,,,3.5088,4300.0,,,,,,46.4286,13.0,9.0,69.231,,4.0,75.0,
7,2007,15.2893,6.9767,,,,802.941,,,,,,,,3.5088,5100.0,,,,,,46.4286,13.0,9.0,69.231,,6.0,75.0,
8,2008,15.2893,6.9767,,,,715.982,,,,,,,,3.5088,5300.0,,,,,,46.4286,12.0,8.0,66.667,,4.0,75.0,
9,2009,12.8099,,,,,,,,,,,,,3.5088,5200.0,,,,,,51.7857,11.0,8.0,72.727,1.0,6.0,75.0,
10,2010,12.8099,,,,,,,,,,,,,3.5088,3500.0,,,,,,51.7857,11.0,8.0,72.73,1.0,9.0,75.0,
11,2011,15.2893,,,,,,,,,,,,,14.0351,5500.0,,,,,,51.7857,11.0,8.0,72.727,1.0,9.0,75.0,
12,2012,15.2893,,,,,,,,,,,,,14.0351,5500.0,,,,,,51.7857,10.0,7.0,70.0,1.0,7.0,96.0,
13,2013,27.2727,20.155,,,,511.733,,2344.5,,,,,,14.0351,5700.0,,,,,,57.1429,10.0,7.0,70.0,1.0,6.0,100.0,
14,2014,33.4711,27.1318,,,,415.536,,1777.68,,,780.559,,,19.2982,5250.0,51.167,,,,,62.5,10.0,7.0,70.0,1.0,11.0,99.0,
15,2015,34.7107,27.907,,,,381.862,,1918.39,,,241.889,,,22.807,5393.0,51.159,,,,,62.5,11.0,8.0,72.727,1.0,8.0,75.0,
16,2016,39.2562,34.8837,,,,352.921,,839.768,,,382.736,,,26.3158,5393.0,51.158,,,,,62.5,11.0,8.0,72.727,1.0,5.0,75.0,
17,2017,40.0826,34.1085,,,,310.507,,800.936,,,362.239,,,31.5789,4666.0,49.7,,,,,62.5,12.0,9.0,75.0,1.0,5.0,85.0,
18,2018,42.1488,35.6589,,,,310.039,,802.063,12612.9,,454.228,,,36.8421,4743.0,50.13,34.0,,,,62.5,13.0,10.0,76.923,1.0,5.0,75.0,
19,2019,,,,,,,,,,,,,,,4500.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
