,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,15.2893,,,,,,,,,,,,,14.0351,21171.0,,,,,,51.7857,12.0,10.0,83.333,3.0,8.0,75.0,
8,2008,26.4463,16.2791,,,,122.098,,154.083,75.406,,3.455,,,19.2982,21649.0,,,,,34.7,57.1429,12.0,10.0,83.333,3.0,8.0,75.0,
9,2009,38.4298,35.6589,,,,129.9,,175.045,265.1,,3.393,,,26.3158,21077.0,,,,,31.4,57.1429,11.0,9.0,81.818,3.0,8.0,75.0,
10,2010,44.6281,40.3101,,,,134.0,,175.6,392.4,,5.91,,,31.5789,20755.0,,,,,23.9,67.8571,11.0,9.0,81.818,1.0,7.0,75.0,
11,2011,44.6281,40.3101,,,,128.8,,170.464,259.5,,4.401,,,31.5789,22700.0,,,,,25.2,67.8571,13.0,11.0,84.615,1.0,9.0,75.0,
12,2012,43.3884,37.9845,,,,113.324,,278.0,240.517,,3.9050000000000002,,,26.3158,21687.0,,,,,,73.2143,13.0,11.0,84.615,1.0,10.0,75.0,
13,2013,43.3884,37.9845,,,,64.184,,182.729,188.293,,7.686,,,31.5789,17000.0,,,,,4.6,67.8571,13.0,10.0,76.923,1.0,10.0,75.0,
14,2014,41.7355,32.5581,,,,51.459,,117.209,168.818,,10.508,,,36.8421,17000.0,,,,,3.7,67.8571,13.0,10.0,76.923,1.0,10.0,75.0,
15,2015,42.562,32.5581,,,,50.399,,116.523,181.219,,3.956,,,36.8421,20400.0,,,,,3.7,71.4286,12.0,10.0,83.333,1.0,9.0,75.0,
16,2016,45.8678,38.7597,,,,36.136,,73.565,265.338,,0.804,,,42.1053,20000.0,,,,,3.7,66.0714,12.0,11.0,91.667,1.0,8.0,75.0,
17,2017,47.9339,40.3101,,,,44.265,,83.484,209.998,,1.035,,,47.3684,20400.0,36.0,,,,3.7,66.0714,12.0,11.0,91.667,1.0,8.0,75.0,
18,2018,47.9339,40.3101,,,,32.721,,63.84,98.253,,0.954,,,47.3684,21200.0,37.0,,,0.0,3.6,66.0714,12.0,11.0,91.667,1.0,7.0,75.0,
19,2019,,,,,,,,,,,,,,,22500.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
