,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,16.2264,2.069,,,,16200.0,,,,,,,,21.875,14061.0,31.0,35.0,,,,46.4286,10.0,8.0,80.0,,8.0,97.0,
7,2007,24.9057,11.0345,,,,16600.0,0.553,,,20.695,,9.0,0.015,32.8125,14314.0,31.0,34.0,,0.0,,51.7857,12.0,10.0,83.333,1.0,8.0,99.0,
8,2008,33.5849,19.3103,,,,17500.0,0.621,,,6.678,,6.0,0.027,45.3125,13600.0,31.0,34.0,,1.0,,57.1429,12.0,10.0,83.333,1.0,9.0,99.0,
9,2009,41.1321,28.9655,,,,10504.0,0.572,,,2.187,,11.0,0.024,50.0,13800.0,31.0,35.0,,2.0,,62.5,10.0,8.0,80.0,1.0,6.0,99.0,0.15
10,2010,43.0189,32.4138,,,,10229.0,0.545,,,7.289,,13.0,0.025,50.0,13504.0,31.0,36.0,,1.0,,62.5,11.0,10.0,90.909,1.0,12.0,98.0,0.838
11,2011,44.5283,32.4138,,,,8427.0,0.478,,,8.625,,10.0,0.029,50.0,17500.0,31.0,35.0,,0.0,,69.6429,12.0,10.0,83.333,1.0,9.0,85.0,0.638
12,2012,44.5283,32.4138,,,,8068.0,0.494,,,2.383,,11.0,0.019,50.0,16900.0,31.0,36.0,,0.0,,69.6429,11.0,10.0,90.909,1.0,7.0,99.0,1.094
13,2013,47.9245,34.4828,,,,7868.0,0.464,,,2.901,,8.0,0.002,54.6875,17100.0,31.0,36.0,,1.0,15.4,75.0,13.0,12.0,92.308,1.0,6.0,97.0,0.948
14,2014,49.0566,38.6207,,,,6998.0,0.353,,,1.947,,10.0,0.002,54.6875,17000.0,29.0,33.0,,0.0,18.6,69.6429,13.0,12.0,92.308,1.0,11.0,96.0,0.982
15,2015,50.566,43.4483,,,,8490.0,0.322,,105618.0,5.073,115.129,,0.05,50.0,17400.0,28.0,,,1.0,,69.6429,12.0,11.0,91.667,1.0,7.0,98.0,0.872
16,2016,49.434,41.3793,,,,4912.0,0.213,,82904.297,5.058,,,0.009,45.3125,16600.0,29.0,,,0.0,,75.0,11.0,10.0,90.909,1.0,8.0,83.0,0.996
17,2017,49.434,41.3793,,,,5347.0,0.14,,109593.0,2.228,,,0.03,50.0,16046.0,30.0,,,0.0,,69.6429,13.0,12.0,92.308,1.0,10.0,98.0,0.922
18,2018,50.566,41.3793,,,,6482.0,0.277,,105996.0,5.282,,,0.012,54.6875,16823.0,26.0,32.2,,0.0,,69.6429,14.0,13.0,92.857,1.0,16.0,97.0,1.405
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
