,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2013,11.9835,,,,,,,,,,,,,,,,,,,,51.7857,10.0,9.0,90.0,1.0,6.0,75.0,
14,2014,11.9835,,,,,,,,,,,,,,,,,,,,51.7857,10.0,9.0,90.0,1.0,6.0,75.0,
15,2015,12.8099,,,,,,,,,,,,,3.5088,7600.0,,,,,,51.7857,10.0,9.0,90.0,1.0,9.0,75.0,
16,2016,13.6364,,,,,,,,,,,,,3.5088,14000.0,,,,,,55.3571,13.0,12.0,92.308,1.0,10.0,75.0,
17,2017,27.2727,17.0543,,,,,,,,,,,,22.807,12000.0,,,,,,55.3571,11.0,10.0,90.909,1.0,7.0,75.0,
18,2018,28.0992,17.0543,,,,,,,,,,,,22.807,12000.0,,,,,,58.9286,11.0,10.0,90.909,1.0,6.0,75.0,
19,2019,28.0992,17.0543,,,,,,,,,,,,22.807,12000.0,,,,,,58.9286,11.0,10.0,90.909,1.0,5.0,74.81,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
