,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,45.1754,38.3929,,,,123.25,,202.833,311.52,,,0.0,0.0,31.6667,26460.0,,,,,18.2,73.2143,16.0,15.0,93.75,1.0,13.0,75.0,0.009
8,2008,50.8772,42.8571,,,,153.268,,257.833,356.792,,,0.0,0.0,45.0,28389.0,44.5,21.1,,,18.8,73.2143,12.0,11.0,91.667,1.0,16.0,75.0,0.022
9,2009,52.193,42.8571,,,,144.881,,315.499,351.129,,,0.0,0.0,45.0,26834.0,44.1,29.6,,,15.8,78.5714,14.0,12.0,85.714,1.0,16.0,75.0,0.007
10,2010,54.8246,47.3214,,,,146.755,,285.785,390.772,,1.533,0.0,0.0,41.6667,27629.0,44.9,29.0,,,17.8,83.9286,14.0,12.0,85.714,1.0,13.0,75.0,0.008
11,2011,60.9649,54.4643,,,,143.897,,277.328,363.814,,3.651,0.0,0.0,61.6667,29740.0,45.2,28.9,0.0,0.0,20.5,73.2143,13.0,12.0,92.308,1.0,11.0,75.0,
12,2012,59.2105,61.6071,8.272,,,108.814,,277.88,423.269,,4.118,0.0,0.0,41.6667,29660.0,45.0,22.0,,,,73.2143,13.0,12.0,92.308,1.0,9.0,75.0,
13,2013,58.7719,63.3929,8.699,,,119.959,,301.67,536.968,,5.422,0.0,0.0,41.6667,29430.0,45.0,24.0,,,,67.8571,12.0,11.0,91.667,1.0,8.0,75.0,
14,2014,63.1579,66.9643,8.364,,,116.786,,312.92,555.789,,5.864,0.0,0.0,51.6667,29970.0,46.0,24.0,,,,67.8571,13.0,12.0,92.308,1.0,8.0,75.0,
15,2015,61.4035,63.3929,7.802,,,111.506,,309.71,542.078,,5.995,0.0,0.0,51.6667,32356.0,46.0,34.0,,,,67.8571,11.0,10.0,90.909,1.0,8.0,75.0,
16,2016,60.5263,64.2857,6.902,,,100.588,,296.4,571.019,,5.4719999999999995,,,46.6667,33783.0,46.6,32.0,,,,67.8571,11.0,10.0,90.909,1.0,9.0,75.0,
17,2017,60.5263,59.8214,6.601,,,99.865,,355.571,536.142,,4.684,,,51.6667,36513.0,46.23,32.95,,,,71.4286,10.0,9.0,90.0,1.0,12.0,75.0,
18,2018,57.8947,57.1429,7.335,,,88.492,,331.798,543.461,,4.853,,,46.6667,40041.0,51.0,29.0,,,,71.4286,11.0,10.0,90.909,1.0,8.0,75.0,
19,2019,,,,,,,,,,,,,,,39000.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
