,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,41.3223,34.1085,,,,,,,,3.762,23.31,0.0,0.0,28.0702,54000.0,,,,0.0,,71.4286,11.0,9.0,81.818,1.0,7.0,75.0,0.0
8,2008,42.562,34.1085,,,,,,,,4.402,25.42,1.0,0.012,33.3333,53000.0,,,131.0,0.0,,71.4286,10.0,8.0,80.0,1.0,5.0,75.0,0.0
9,2009,42.562,34.1085,,,,,,,,11.27,29.65,0.0,0.0,33.3333,47000.0,,,120.0,0.0,,71.4286,11.0,10.0,90.909,1.0,9.0,75.0,0.0
10,2010,40.4959,34.8837,,,,,,,10000.0,20.995,43.217,0.0,0.0,33.3333,52600.0,,,123.0,0.0,,60.7143,9.0,7.0,77.778,1.0,11.0,75.0,
11,2011,48.3471,43.4109,,,,,,,10900.0,16.82,30.94,0.0,0.0,36.8421,54600.0,,,,0.0,,71.4286,8.0,7.0,87.5,1.0,8.0,75.0,0.0
12,2012,38.843,33.3333,,,,,,1610.0,11600.0,14.594,32.248,1.0,0.0,28.0702,57172.0,,,,,,62.5,11.0,9.0,81.818,1.0,4.0,75.0,
13,2013,35.124,28.6822,,,,,,1614.0,,13.82,46.891,0.0,0.0,28.0702,53200.0,,,,,,57.1429,12.0,10.0,83.333,1.0,5.0,75.0,
14,2014,36.3636,31.0078,,,,,,1630.0,,15.542,37.655,0.0,0.0,28.0702,52100.0,,,,,,57.1429,12.0,10.0,83.333,1.0,5.0,90.0,
15,2015,42.9752,41.0853,,,,1302.0,,1660.0,14213.5,14.919,34.691,0.0,0.0,33.3333,52350.0,,,,0.0,,57.1429,11.0,10.0,90.909,1.0,4.0,75.0,
16,2016,44.2149,41.0853,,,,1260.0,,1636.0,13954.6,10.445,28.475,0.0,0.0,38.5965,45500.0,,,8.0,0.0,,57.1429,11.0,10.0,90.909,1.0,4.0,75.0,
17,2017,39.6694,32.5581,,,,,,1633.0,,10.211,26.965,0.0,0.0,38.5965,40764.0,57.0,,,0.0,,57.1429,11.0,10.0,90.909,1.0,6.0,75.0,
18,2018,42.1488,32.5581,,,,,,1567.0,,7.672,26.478,0.0,0.0,49.1228,43000.0,59.6,21.1,,0.0,,57.1429,12.0,10.0,83.333,1.0,5.0,75.0,
19,2019,,,,,,,,,,,,,,,40500.0,,,,,,,10.0,8.0,80.0,1.0,4.0,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
